step,pred_pos_x,pred_pos_y,pred_pos_z,pred_rot_0,pred_rot_1,pred_rot_2,pred_rot_3,ref_pos_x,ref_pos_y,ref_pos_z,ref_rot_0,ref_rot_1,ref_rot_2,ref_rot_3,action_throttle,action_steering
0,0.00039002663106657565,0.000321961531881243,-0.01634649559855461,0.0,0.0,-0.0014489555032923818,0.9999989867210388,0.013333333656191826,0.0,0.0,0.0,0.0,0.0,1.0,0.3667434751987457,0.017983615398406982
1,0.0014228204963728786,0.0007683495059609413,-0.04165002703666687,0.0,0.0,-0.008942058309912682,0.9999600052833557,0.02666666731238365,0.0,0.0,0.0,0.0,0.0,1.0,0.3953089714050293,0.00231725350022316
2,0.0029157574754208326,0.0012124725617468357,-0.07187581062316895,0.0,0.0,-0.021522156894207,0.9997683763504028,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,1.0,0.39543142914772034,0.002850336255505681
3,0.005035949870944023,0.0016970322467386723,-0.10444524884223938,0.0,0.0,-0.03634736314415932,0.99933922290802,0.0533333346247673,0.0,0.0,0.0,0.0,0.0,1.0,0.39575955271720886,0.002912456402555108
4,0.008042724803090096,0.0021398705430328846,-0.13830295205116272,0.0,0.0,-0.05121377110481262,0.998687744140625,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,1.0,0.3959997892379761,0.0026691944804042578
5,0.012141739949584007,0.0025484582874923944,-0.17306122183799744,0.0,0.0,-0.06574992835521698,0.9978361129760742,0.07999999821186066,0.0,0.0,0.0,0.0,0.0,1.0,0.39621222019195557,0.0025927387177944183
6,0.01724359020590782,0.0029261549934744835,-0.20786859095096588,0.0,0.0,-0.08027388155460358,0.996772825717926,0.09333333373069763,0.0,0.0,0.0,0.0,0.0,1.0,0.3964354991912842,0.0024620634503662586
7,0.023250937461853027,0.003272030968219042,-0.24248680472373962,0.0,0.0,-0.09460218995809555,0.9955151677131653,0.1066666692495346,0.0,0.0,0.0,0.0,0.0,1.0,0.3966705799102783,0.0023055830970406532
8,0.030281059443950653,0.003631339641287923,-0.2771260440349579,0.0,0.0,-0.10859537124633789,0.9940860271453857,0.12000000476837158,0.0,0.0,0.0,0.0,0.0,1.0,0.39690035581588745,0.0020764549262821674
9,0.03830639272928238,0.004014270380139351,-0.3115343749523163,0.0,0.0,-0.12263540923595428,0.9924517869949341,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,1.0,0.397167444229126,0.001917968038469553
10,0.04730029031634331,0.004396145232021809,-0.3457041084766388,0.0,0.0,-0.1366470903158188,0.9906198382377625,0.14666667580604553,0.0,0.0,0.0,0.0,0.0,1.0,0.39746880531311035,0.0018233200535178185
11,0.05725648254156113,0.004777778405696154,-0.379605233669281,0.0,0.0,-0.1506352573633194,0.9885894060134888,0.1599999964237213,0.0,0.0,0.0,0.0,0.0,1.0,0.397683322429657,0.0020363335497677326
12,0.06816676259040833,0.005159561987966299,-0.413209468126297,0.0,0.0,-0.16459797322750092,0.9863607287406921,0.1733333319425583,0.0,0.0,0.0,0.0,0.0,1.0,0.3978250026702881,0.0024033517111092806
13,0.0800231322646141,0.0055416058748960495,-0.44649064540863037,0.0,0.0,-0.17853228747844696,0.9839341044425964,0.18666666746139526,0.0,0.0,0.0,0.0,0.0,1.0,0.3978925943374634,0.0033738301135599613
14,0.09281599521636963,0.005923720076680183,-0.479422003030777,0.0,0.0,-0.19243401288986206,0.9813098907470703,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,1.0,0.39811062812805176,0.0040308269672095776
15,0.10653573274612427,0.006305844988673925,-0.5119779706001282,0.0,0.0,-0.20629999041557312,0.9784888029098511,0.2133333384990692,0.0,0.0,0.0,0.0,0.0,1.0,0.39837563037872314,0.004915923811495304
16,0.12117113173007965,0.006687927059829235,-0.5441316962242126,0.0,0.0,-0.2201276272535324,0.9754710793495178,0.2266666740179062,0.0,0.0,0.0,0.0,0.0,1.0,0.3984435200691223,0.005259756464511156
17,0.13671059906482697,0.007069921586662531,-0.5758576989173889,0.0,0.0,-0.23391303420066833,0.9722575545310974,0.24000000953674316,0.0,0.0,0.0,0.0,0.0,1.0,0.39860206842422485,0.005671973340213299
18,0.1531423181295395,0.007451943121850491,-0.6071309447288513,0.0,0.0,-0.24765367805957794,0.9688486456871033,0.25333333015441895,0.0,0.0,0.0,0.0,0.0,1.0,0.3988141417503357,0.006191308610141277
19,0.17045292258262634,0.007834008894860744,-0.6379256248474121,0.0,0.0,-0.2613475024700165,0.9652447700500488,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,1.0,0.39910802245140076,0.006648769602179527
20,0.18862853944301605,0.008216090500354767,-0.6682170033454895,0.0,0.0,-0.274991512298584,0.9614466428756714,0.2800000011920929,0.0,0.0,0.0,0.0,0.0,1.0,0.39939096570014954,0.007099899463355541
21,0.20765486359596252,0.008598245680332184,-0.6979808211326599,0.0,0.0,-0.28858256340026855,0.957455039024353,0.29333335161209106,0.0,0.0,0.0,0.0,0.0,1.0,0.399701327085495,0.007399707566946745
22,0.22751688957214355,0.008980544283986092,-0.7271931171417236,0.0,0.0,-0.30211809277534485,0.9532704949378967,0.30666667222976685,0.0,0.0,0.0,0.0,0.0,1.0,0.400003582239151,0.00739425141364336
23,0.24819892644882202,0.009363068267703056,-0.7558302283287048,0.0,0.0,-0.3155960738658905,0.948893666267395,0.3199999928474426,0.0,0.0,0.0,0.0,0.0,1.0,0.4002840518951416,0.0073304506950080395
24,0.2696843147277832,0.009745840914547443,-0.7838687300682068,0.0,0.0,-0.32901421189308167,0.9443249702453613,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,1.0,0.40058571100234985,0.007064593955874443
25,0.29195618629455566,0.01012890413403511,-0.8112860918045044,0.0,0.0,-0.34236979484558105,0.9395653009414673,0.3466666638851166,0.0,0.0,0.0,0.0,0.0,1.0,0.40091192722320557,0.006695057265460491
26,0.31499671936035156,0.010512308217585087,-0.8380597829818726,0.0,0.0,-0.35566115379333496,0.9346150159835815,0.36000001430511475,0.0,0.0,0.0,0.0,0.0,1.0,0.40108391642570496,0.0063204956240952015
27,0.3387870788574219,0.010895996354520321,-0.8641676902770996,0.0,0.0,-0.3688856363296509,0.9294747710227966,0.3733333349227905,0.0,0.0,0.0,0.0,0.0,1.0,0.4012202322483063,0.006031834054738283
28,0.36330845952033997,0.011279923841357231,-0.8895888924598694,0.0,0.0,-0.3820403814315796,0.9241456389427185,0.3866666853427887,0.0,0.0,0.0,0.0,0.0,1.0,0.40128883719444275,0.00617984589189291
29,0.38854098320007324,0.011664004065096378,-0.9143026471138,0.0,0.0,-0.3951217830181122,0.9186287522315979,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,1.0,0.4013984799385071,0.0063005732372403145
