step,pred_pos_x,pred_pos_y,pred_pos_z,pred_rot_0,pred_rot_1,pred_rot_2,pred_rot_3,ref_pos_x,ref_pos_y,ref_pos_z,ref_rot_0,ref_rot_1,ref_rot_2,ref_rot_3,action_throttle,action_steering
0,-3.296688373666257e-05,9.511571261100471e-05,-0.010577209293842316,0.0,0.0,0.0005314801819622517,0.9999998807907104,0.013333333656191826,0.0,0.0,0.0,0.0,0.0,1.0,0.02869430184364319,-0.0013722284929826856
1,-8.227475336752832e-05,0.00016953331942204386,-0.02112235501408577,0.0,0.0,0.0010519601637497544,0.999999463558197,0.02666666731238365,0.0,0.0,0.0,0.0,0.0,1.0,0.02943314053118229,-0.0017451142193749547
2,-0.00014040700625628233,0.00023992193746380508,-0.03173358738422394,0.0,0.0,0.0016018886817619205,0.9999987483024597,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,1.0,0.02922401763498783,-0.0011292914859950542
3,-0.00020225992193445563,0.00031046898220665753,-0.04245530068874359,0.0,0.0,0.002141115488484502,0.9999977350234985,0.0533333346247673,0.0,0.0,0.0,0.0,0.0,1.0,0.028977954760193825,-0.0005421190871857107
4,-0.00027300685178488493,0.0003789408365264535,-0.053242169320583344,0.0,0.0,0.002642258070409298,0.999996542930603,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,1.0,0.0288379043340683,6.587058305740356e-05
5,-0.0003549361717887223,0.00044476796756498516,-0.06407985091209412,0.0,0.0,0.0031148428097367287,0.9999951720237732,0.07999999821186066,0.0,0.0,0.0,0.0,0.0,1.0,0.02870367467403412,0.000609826238360256
6,-0.00044741324381902814,0.000508166616782546,-0.07496850192546844,0.0,0.0,0.0035725170746445656,0.999993622303009,0.09333333373069763,0.0,0.0,0.0,0.0,0.0,1.0,0.02858864888548851,0.0009236705373041332
7,-0.0005493168137036264,0.0005687965895049274,-0.08590824156999588,0.0,0.0,0.00402131536975503,0.9999919533729553,0.1066666692495346,0.0,0.0,0.0,0.0,0.0,1.0,0.028646940365433693,0.001327528734691441
8,-0.0006602138164453208,0.0006259212968870997,-0.09689605236053467,0.0,0.0,0.004462881945073605,0.9999900460243225,0.12000000476837158,0.0,0.0,0.0,0.0,0.0,1.0,0.028705617412924767,0.0016381650930270553
9,-0.0007798774749971926,0.0006789939943701029,-0.10793260484933853,0.0,0.0,0.004899576772004366,0.9999880194664001,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,1.0,0.02869533561170101,0.001673309481702745
10,-0.0009090809617191553,0.0007323827012442052,-0.11897039413452148,0.0,0.0,0.005337703041732311,0.9999857544898987,0.14666667580604553,0.0,0.0,0.0,0.0,0.0,1.0,0.028736399486660957,0.0016475043958052993
11,-0.0010478710755705833,0.0007859725155867636,-0.1300075352191925,0.0,0.0,0.0057764556258916855,0.9999833106994629,0.1599999964237213,0.0,0.0,0.0,0.0,0.0,1.0,0.028798330575227737,0.0015809970209375024
12,-0.0011962598655372858,0.0008396328194066882,-0.14104460179805756,0.0,0.0,0.00621527386829257,0.9999806880950928,0.1733333319425583,0.0,0.0,0.0,0.0,0.0,1.0,0.02892005257308483,0.0014501129044219851
13,-0.0013541853986680508,0.0008932735654525459,-0.15208308398723602,0.0,0.0,0.006653585936874151,0.9999778866767883,0.18666666746139526,0.0,0.0,0.0,0.0,0.0,1.0,0.029167821630835533,0.0012601420748978853
14,-0.001521718455478549,0.0009468711214140058,-0.1631236970424652,0.0,0.0,0.007091072387993336,0.9999748468399048,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,1.0,0.02930857613682747,0.0010071654105558991
15,-0.0016988154966384172,0.001000527641735971,-0.17416782677173615,0.0,0.0,0.007527461741119623,0.9999716877937317,0.2133333384990692,0.0,0.0,0.0,0.0,0.0,1.0,0.029415832832455635,0.0006841010181233287
16,-0.00188544113188982,0.001054277177900076,-0.18521612882614136,0.0,0.0,0.007962137460708618,0.9999682903289795,0.2266666740179062,0.0,0.0,0.0,0.0,0.0,1.0,0.029478905722498894,0.0004240795678924769
17,-0.002081570914015174,0.0011080895783379674,-0.1962684839963913,0.0,0.0,0.008394697681069374,0.9999647736549377,0.24000000953674316,0.0,0.0,0.0,0.0,0.0,1.0,0.029592979699373245,0.00027837976813316345
18,-0.002287232782691717,0.001161895808763802,-0.20732444524765015,0.0,0.0,0.00882526021450758,0.9999610781669617,0.25333333015441895,0.0,0.0,0.0,0.0,0.0,1.0,0.029707521200180054,0.0001273825764656067
19,-0.0025023603811860085,0.0012156461598351598,-0.21838445961475372,0.0,0.0,0.009254099801182747,0.9999572038650513,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,1.0,0.029899708926677704,-2.2180378437042236e-05
20,-0.00272684870287776,0.0012692336458712816,-0.2294493168592453,0.0,0.0,0.00968115497380495,0.9999531507492065,0.2800000011920929,0.0,0.0,0.0,0.0,0.0,1.0,0.030234651640057564,-0.0001309812068939209
21,-0.0029607610777020454,0.00132260681129992,-0.24051913619041443,0.0,0.0,0.010106628760695457,0.9999489188194275,0.29333335161209106,0.0,0.0,0.0,0.0,0.0,1.0,0.0304484274238348,-0.0002449415624141693
22,-0.003204016014933586,0.0013758710119873285,-0.25159502029418945,0.0,0.0,0.0105306850746274,0.9999445676803589,0.30666667222976685,0.0,0.0,0.0,0.0,0.0,1.0,0.030664285644888878,-0.00036501881550066173
23,-0.0034565385431051254,0.0014290496474131942,-0.26267749071121216,0.0,0.0,0.010952895507216454,0.999940037727356,0.3199999928474426,0.0,0.0,0.0,0.0,0.0,1.0,0.030912043526768684,-0.0004988312139175832
24,-0.0037183247040957212,0.0014820980140939355,-0.27376675605773926,0.0,0.0,0.011372940614819527,0.9999353289604187,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,1.0,0.03116997890174389,-0.000642351689748466
25,-0.0039892946369946,0.0015349496388807893,-0.28486368060112,0.0,0.0,0.011790606193244457,0.9999305009841919,0.3466666638851166,0.0,0.0,0.0,0.0,0.0,1.0,0.03155931457877159,-0.0007368772057816386
26,-0.004269387107342482,0.0015874464297667146,-0.2959693968296051,0.0,0.0,0.012205655686557293,0.9999255537986755,0.36000001430511475,0.0,0.0,0.0,0.0,0.0,1.0,0.03208506107330322,-0.0007137766806408763
27,-0.004558577202260494,0.001639444730244577,-0.3070852756500244,0.0,0.0,0.01261815894395113,0.9999204277992249,0.3733333349227905,0.0,0.0,0.0,0.0,0.0,1.0,0.032704342156648636,-0.0005404911353252828
28,-0.004856821149587631,0.0016908530378714204,-0.31821346282958984,0.0,0.0,0.01302830409258604,0.9999151229858398,0.3866666853427887,0.0,0.0,0.0,0.0,0.0,1.0,0.033402688801288605,-0.0003155246376991272
29,-0.005164092872291803,0.0017416346818208694,-0.32935628294944763,0.0,0.0,0.013436146080493927,0.9999097585678101,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,1.0,0.03408248722553253,-0.00010008737444877625
30,-0.0054803527891635895,0.0017918403027579188,-0.34051594138145447,0.0,0.0,0.013841517269611359,0.999904215335846,0.41333335638046265,0.0,0.0,0.0,0.0,0.0,1.0,0.0347408726811409,0.00010369345545768738
31,-0.0058056022971868515,0.0018414841033518314,-0.351694256067276,0.0,0.0,0.014244054444134235,0.9998985528945923,0.4266666769981384,0.0,0.0,0.0,0.0,0.0,1.0,0.035310517996549606,0.00033549219369888306
32,-0.006139843259006739,0.0018905791221186519,-0.3628925383090973,0.0,0.0,0.014643537811934948,0.9998927712440491,0.4399999976158142,0.0,0.0,0.0,0.0,0.0,1.0,0.03580319508910179,0.0005631334497593343
33,-0.006483063101768494,0.0019391211681067944,-0.3741115629673004,0.0,0.0,0.015039853751659393,0.9998869299888611,0.4533333480358124,0.0,0.0,0.0,0.0,0.0,1.0,0.03624079003930092,0.0007003842620179057
34,-0.006835170090198517,0.001987024676054716,-0.38535234332084656,0.0,0.0,0.015432733111083508,0.9998809099197388,0.46666666865348816,0.0,0.0,0.0,0.0,0.0,1.0,0.03678609058260918,0.000856924569234252
35,-0.0071961721405386925,0.00203414773568511,-0.39661505818367004,0.0,0.0,0.015822138637304306,0.9998748302459717,0.48000001907348633,0.0,0.0,0.0,0.0,0.0,1.0,0.03735342621803284,0.001019019284285605
36,-0.007566072512418032,0.0020804728846997023,-0.40790021419525146,0.0,0.0,0.016208503395318985,0.999868631362915,0.4933333396911621,0.0,0.0,0.0,0.0,0.0,1.0,0.03791380673646927,0.0011822798987850547
37,-0.007944832555949688,0.0021260539069771767,-0.41920849680900574,0.0,0.0,0.01659209467470646,0.9998623728752136,0.5066666603088379,0.0,0.0,0.0,0.0,0.0,1.0,0.038460537791252136,0.001343681593425572
38,-0.008332420140504837,0.002170947380363941,-0.4305402934551239,0.0,0.0,0.016972901299595833,0.9998559951782227,0.5199999809265137,0.0,0.0,0.0,0.0,0.0,1.0,0.03899594396352768,0.0015026542823761702
39,-0.008728791028261185,0.0022151684388518333,-0.4418962895870209,0.0,0.0,0.017350750043988228,0.9998494982719421,0.5333333611488342,0.0,0.0,0.0,0.0,0.0,1.0,0.039604369550943375,0.001639856374822557
40,-0.0091339610517025,0.002258701715618372,-0.4532770812511444,0.0,0.0,0.017725573852658272,0.9998429417610168,0.54666668176651,0.0,0.0,0.0,0.0,0.0,1.0,0.04022660478949547,0.0017782021313905716
41,-0.009548056870698929,0.0023013241589069366,-0.464688777923584,0.0,0.0,0.018100200220942497,0.9998362064361572,0.5600000023841858,0.0,0.0,0.0,0.0,0.0,1.0,0.040680307894945145,0.0018930413061752915
42,-0.009971107356250286,0.0023431761655956507,-0.4761327803134918,0.0,0.0,0.01847495511174202,0.9998293519020081,0.5733333230018616,0.0,0.0,0.0,0.0,0.0,1.0,0.04104568436741829,0.0019858714658766985
43,-0.010403119958937168,0.0023842856753617525,-0.487608939409256,0.0,0.0,0.01884930580854416,0.9998223185539246,0.5866667032241821,0.0,0.0,0.0,0.0,0.0,1.0,0.041401367634534836,0.002078746212646365
44,-0.010844163596630096,0.0024246135726571083,-0.4991157352924347,0.0,0.0,0.019222993403673172,0.9998152256011963,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,1.0,0.041747577488422394,0.0021709094289690256
45,-0.011294292286038399,0.00246414914727211,-0.5106518864631653,0.0,0.0,0.019596340134739876,0.9998079538345337,0.6133333444595337,0.0,0.0,0.0,0.0,0.0,1.0,0.04209482669830322,0.002260401612147689
46,-0.011753535829484463,0.0025029133539646864,-0.5222164392471313,0.0,0.0,0.019969753921031952,0.9998005628585815,0.6266666650772095,0.0,0.0,0.0,0.0,0.0,1.0,0.04243047535419464,0.002334106247872114
47,-0.012221896089613438,0.002540926681831479,-0.5338090658187866,0.0,0.0,0.020343419164419174,0.9997930526733398,0.6399999856948853,0.0,0.0,0.0,0.0,0.0,1.0,0.04281201958656311,0.002396675758063793
48,-0.012699427083134651,0.002578197978436947,-0.5454293489456177,0.0,0.0,0.020717380568385124,0.9997853636741638,0.6533333659172058,0.0,0.0,0.0,0.0,0.0,1.0,0.04319107159972191,0.0024572412949055433
49,-0.013186228461563587,0.002614855533465743,-0.5570755004882812,0.0,0.0,0.02109185978770256,0.9997775554656982,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,1.0,0.0433952622115612,0.0025660190731287003
50,-0.013682268559932709,0.002651086775586009,-0.5687459111213684,0.0,0.0,0.021466920152306557,0.9997695684432983,0.6800000071525574,0.0,0.0,0.0,0.0,0.0,1.0,0.04356804117560387,0.0026808837428689003
51,-0.014187525026500225,0.0026869052089750767,-0.5804386734962463,0.0,0.0,0.021842176094651222,0.9997614622116089,0.6933333277702332,0.0,0.0,0.0,0.0,0.0,1.0,0.04375048354268074,0.002763838041573763
52,-0.014702013693749905,0.002722241682931781,-0.5921525955200195,0.0,0.0,0.022217538207769394,0.9997531771659851,0.7066667079925537,0.0,0.0,0.0,0.0,0.0,1.0,0.044012706726789474,0.002777554327622056
53,-0.015225786715745926,0.002757050096988678,-0.6038870215415955,0.0,0.0,0.022593248635530472,0.9997447729110718,0.7200000286102295,0.0,0.0,0.0,0.0,0.0,1.0,0.044294096529483795,0.0028087012469768524
54,-0.015758896246552467,0.0027913625817745924,-0.6156419515609741,0.0,0.0,0.022969646379351616,0.9997361898422241,0.7333333492279053,0.0,0.0,0.0,0.0,0.0,1.0,0.04456470161676407,0.0028345694299787283
55,-0.016301380470395088,0.0028252690099179745,-0.6274175047874451,0.0,0.0,0.023346802219748497,0.9997274279594421,0.746666669845581,0.0,0.0,0.0,0.0,0.0,1.0,0.04479428008198738,0.002784159267321229
