step,pred_pos_x,pred_pos_y,pred_pos_z,pred_rot_0,pred_rot_1,pred_rot_2,pred_rot_3,ref_pos_x,ref_pos_y,ref_pos_z,ref_rot_0,ref_rot_1,ref_rot_2,ref_rot_3,action_throttle,action_steering
0,0.00017861119704321027,0.0002344487002119422,-0.013153107836842537,0.0,0.0,-0.00037846690975129604,0.9999999403953552,0.013333333656191826,0.0,0.0,0.0,0.0,0.0,1.0,0.1769232451915741,-0.2640579044818878
1,0.0007010897970758379,0.0006089496309868991,-0.031402140855789185,0.0,0.0,-0.004720356781035662,0.999988853931427,0.02666666731238365,0.0,0.0,0.0,0.0,0.0,1.0,0.16475941240787506,-0.22824807465076447
2,0.0014484189450740814,0.000968590728007257,-0.054018426686525345,0.0,0.0,-0.013762698508799076,0.9999052882194519,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,1.0,0.15278978645801544,-0.23743757605552673
3,0.002541341818869114,0.0012447172775864601,-0.07999785989522934,0.0,0.0,-0.026064526289701462,0.9996602535247803,0.0533333346247673,0.0,0.0,0.0,0.0,0.0,1.0,0.13921919465065002,-0.23799079656600952
4,0.004152750130742788,0.0014252994442358613,-0.10829468071460724,0.0,0.0,-0.03932967409491539,0.9992263317108154,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,1.0,0.12295003980398178,-0.2424018532037735
5,0.0064713843166828156,0.0014721008483320475,-0.13823790848255157,0.0,0.0,-0.051020849496126175,0.9986976385116577,0.07999999821186066,0.0,0.0,0.0,0.0,0.0,1.0,0.10634063929319382,-0.24746744334697723
6,0.009566253051161766,0.0013034800067543983,-0.17035815119743347,0.0,0.0,-0.05992719531059265,0.9982028007507324,0.09333333373069763,0.0,0.0,0.0,0.0,0.0,1.0,0.09144271165132523,-0.2562310993671417
7,0.013768750242888927,0.0010128826834261417,-0.20682966709136963,0.0,0.0,-0.06524138897657394,0.9978695511817932,0.1066666692495346,0.0,0.0,0.0,0.0,0.0,1.0,0.07713982462882996,-0.2612999379634857
8,0.018783189356327057,0.0008687286172062159,-0.24599185585975647,0.0,0.0,-0.06814596801996231,0.997675359249115,0.12000000476837158,0.0,0.0,0.0,0.0,0.0,1.0,0.061847247183322906,-0.2657623589038849
9,0.02406337298452854,0.0007534079486504197,-0.28552019596099854,0.0,0.0,-0.06937290728092194,0.9975908398628235,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,1.0,0.04757482931017876,-0.2714347839355469
10,0.029523629695177078,0.0005512830102816224,-0.32505160570144653,0.0,0.0,-0.0705999955534935,0.997504711151123,0.14666667580604553,0.0,0.0,0.0,0.0,0.0,1.0,0.03831223025918007,-0.27763113379478455
11,0.034972433000802994,0.00020179981947876513,-0.36349159479141235,0.0,0.0,-0.07201468199491501,0.9974035620689392,0.1599999964237213,0.0,0.0,0.0,0.0,0.0,1.0,0.029949665069580078,-0.281007319688797
12,0.03960651159286499,-0.0002930744376499206,-0.39599764347076416,0.0,0.0,-0.07397400587797165,0.9972601532936096,0.1733333319425583,0.0,0.0,0.0,0.0,0.0,1.0,0.025779640302062035,-0.2847423255443573
13,0.042883820831775665,-0.0004925356479361653,-0.4182359576225281,0.0,0.0,-0.07569064199924469,0.99713134765625,0.18666666746139526,0.0,0.0,0.0,0.0,0.0,1.0,0.0219512190669775,-0.28700119256973267
14,0.045185502618551254,-0.00043701849062927067,-0.43356049060821533,0.0,0.0,-0.07682755589485168,0.9970443844795227,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,1.0,0.019481094554066658,-0.28891560435295105
15,0.0471821203827858,-0.0003108764358330518,-0.44660288095474243,0.0,0.0,-0.0777781680226326,0.9969707131385803,0.2133333384990692,0.0,0.0,0.0,0.0,0.0,1.0,0.018300900235772133,-0.29136520624160767
16,0.049085237085819244,-0.00014833362365607172,-0.4588465690612793,0.0,0.0,-0.07864028960466385,0.9969030618667603,0.2266666740179062,0.0,0.0,0.0,0.0,0.0,1.0,0.017273755744099617,-0.2935018539428711
17,0.05096182972192764,3.1102841603569686e-05,-0.4707629680633545,0.0,0.0,-0.07942362129688263,0.9968409538269043,0.24000000953674316,0.0,0.0,0.0,0.0,0.0,1.0,0.01618342660367489,-0.29516252875328064
18,0.05283107981085777,0.00021944975014775991,-0.48250746726989746,0.0,0.0,-0.08014511317014694,0.9967831969261169,0.25333333015441895,0.0,0.0,0.0,0.0,0.0,1.0,0.015156051144003868,-0.29682523012161255
19,0.054700594395399094,0.00041300413431599736,-0.4941478967666626,0.0,0.0,-0.08081722259521484,0.9967289566993713,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,1.0,0.014080503024160862,-0.2984958291053772
20,0.05657317489385605,0.0006098520825617015,-0.5057151913642883,0.0,0.0,-0.08144504576921463,0.9966778755187988,0.2800000011920929,0.0,0.0,0.0,0.0,0.0,1.0,0.012609070166945457,-0.29966041445732117
21,0.05845315381884575,0.0008085659937933087,-0.5172367691993713,0.0,0.0,-0.08203829824924469,0.9966291785240173,0.29333335161209106,0.0,0.0,0.0,0.0,0.0,1.0,0.012026485987007618,-0.29994291067123413
22,0.06034062057733536,0.0010079503990709782,-0.5287214517593384,0.0,0.0,-0.08260433375835419,0.9965824484825134,0.30666667222976685,0.0,0.0,0.0,0.0,0.0,1.0,0.011446746997535229,-0.30025315284729004
23,0.06223616749048233,0.0012076037237420678,-0.5401778221130371,0.0,0.0,-0.0831468254327774,0.9965373277664185,0.3199999928474426,0.0,0.0,0.0,0.0,0.0,1.0,0.010809674859046936,-0.3004927933216095
24,0.06414005160331726,0.0014074960490688682,-0.551611065864563,0.0,0.0,-0.08366743475198746,0.9964937567710876,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,1.0,0.01000288687646389,-0.3011828660964966
25,0.06605345010757446,0.001607741811312735,-0.5630273818969727,0.0,0.0,-0.08417036384344101,0.9964513778686523,0.3466666638851166,0.0,0.0,0.0,0.0,0.0,1.0,0.009645904414355755,-0.3017810583114624
26,0.0679759830236435,0.0018081514863297343,-0.5744280219078064,0.0,0.0,-0.08465999364852905,0.9964098930358887,0.36000001430511475,0.0,0.0,0.0,0.0,0.0,1.0,0.009334010072052479,-0.3023328483104706
27,0.06990741193294525,0.0020087575539946556,-0.5858145952224731,0.0,0.0,-0.08513842523097992,0.9963691234588623,0.3733333349227905,0.0,0.0,0.0,0.0,0.0,1.0,0.009007787331938744,-0.30283257365226746
28,0.07184869796037674,0.0022095991298556328,-0.597191572189331,0.0,0.0,-0.0856093093752861,0.9963288307189941,0.3866666853427887,0.0,0.0,0.0,0.0,0.0,1.0,0.00906050018966198,-0.30290156602859497
29,0.0738007202744484,0.0024104886688292027,-0.6085630655288696,0.0,0.0,-0.08607865124940872,0.9962883591651917,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,1.0,0.009586022235453129,-0.30259695649147034
30,0.07576564699411392,0.0026112359482795,-0.6199373006820679,0.0,0.0,-0.08655600249767303,0.9962469935417175,0.41333335638046265,0.0,0.0,0.0,0.0,0.0,1.0,0.010965641587972641,-0.3019460141658783
31,0.0777435153722763,0.0028116556350141764,-0.6313161253929138,0.0,0.0,-0.08704786747694016,0.996204137802124,0.4266666769981384,0.0,0.0,0.0,0.0,0.0,1.0,0.012152554467320442,-0.301369845867157
32,0.0797361433506012,0.0030120485462248325,-0.6427061557769775,0.0,0.0,-0.08755943924188614,0.9961593151092529,0.4399999976158142,0.0,0.0,0.0,0.0,0.0,1.0,0.013489999808371067,-0.30081796646118164
33,0.08174615353345871,0.0032124642748385668,-0.6541158556938171,0.0,0.0,-0.08809974789619446,0.9961116909980774,0.4533333480358124,0.0,0.0,0.0,0.0,0.0,1.0,0.015327985398471355,-0.29994601011276245
34,0.08377471566200256,0.0034127789549529552,-0.665549635887146,0.0,0.0,-0.08867712318897247,0.9960604310035706,0.46666666865348816,0.0,0.0,0.0,0.0,0.0,1.0,0.017187530174851418,-0.2993567883968353
35,0.08582320064306259,0.0036131266970187426,-0.6770117878913879,0.0,0.0,-0.08929653465747833,0.996005117893219,0.48000001907348633,0.0,0.0,0.0,0.0,0.0,1.0,0.018871014937758446,-0.29874715209007263
36,0.08789511024951935,0.003813782474026084,-0.6885124444961548,0.0,0.0,-0.08996617794036865,0.9959448575973511,0.4933333396911621,0.0,0.0,0.0,0.0,0.0,1.0,0.021035075187683105,-0.2986178696155548
37,0.08999306708574295,0.004014682490378618,-0.7000589370727539,0.0,0.0,-0.09069611132144928,0.9958786368370056,0.5066666603088379,0.0,0.0,0.0,0.0,0.0,1.0,0.023248791694641113,-0.2986701428890228
38,0.09212056547403336,0.00421598507091403,-0.7116608619689941,0.0,0.0,-0.0914972797036171,0.9958053231239319,0.5199999809265137,0.0,0.0,0.0,0.0,0.0,1.0,0.025698887184262276,-0.29877811670303345
