step,pred_pos_x,pred_pos_y,pred_pos_z,pred_rot_0,pred_rot_1,pred_rot_2,pred_rot_3,ref_pos_x,ref_pos_y,ref_pos_z,ref_rot_0,ref_rot_1,ref_rot_2,ref_rot_3,action_throttle,action_steering
0,-5.225135828368366e-05,6.310976459644735e-05,-0.0101755540817976,0.0,0.0,0.0004915610188618302,0.9999998807907104,0.013333333656191826,0.0,0.0,0.0,0.0,0.0,1.0,-0.9436151385307312,0.5659575462341309
1,-0.00016164367843884975,6.113408744568005e-05,-0.019746996462345123,0.0,0.0,0.001237404067069292,0.9999992251396179,0.02666666731238365,0.0,0.0,0.0,0.0,0.0,1.0,-0.9236511588096619,0.5968334078788757
2,-0.00028547673719003797,3.21893094223924e-05,-0.029148153960704803,0.0,0.0,0.0023700993042439222,0.9999971985816956,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,1.0,-0.9187881350517273,0.6291900277137756
3,-0.000411554123274982,-2.4233693693531677e-05,-0.03847957029938698,0.0,0.0,0.0037652424070984125,0.9999929070472717,0.0533333346247673,0.0,0.0,0.0,0.0,0.0,1.0,-0.9135586619377136,0.6607581377029419
4,-0.0005471028853207827,-0.00012128218077123165,-0.0476653128862381,0.0,0.0,0.005329251289367676,0.9999858140945435,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,1.0,-0.9080084562301636,0.6906313896179199
5,-0.0006954884738661349,-0.0002634215052239597,-0.05667268484830856,0.0,0.0,0.007038716226816177,0.9999752640724182,0.07999999821186066,0.0,0.0,0.0,0.0,0.0,1.0,-0.9020791053771973,0.7184948921203613
6,-0.0008541817078366876,-0.0004489583952818066,-0.06550281494855881,0.0,0.0,0.008894436061382294,0.9999604821205139,0.09333333373069763,0.0,0.0,0.0,0.0,0.0,1.0,-0.8962202072143555,0.7415782809257507
7,-0.0010159277589991689,-0.0006771584739908576,-0.07414625585079193,0.0,0.0,0.010905629955232143,0.9999405741691589,0.1066666692495346,0.0,0.0,0.0,0.0,0.0,1.0,-0.8910026550292969,0.7591630816459656
8,-0.0011684602359309793,-0.0009500434389337897,-0.08254994451999664,0.0,0.0,0.013093352317810059,0.999914288520813,0.12000000476837158,0.0,0.0,0.0,0.0,0.0,1.0,-0.8857609629631042,0.7743298411369324
9,-0.0012865421595051885,-0.0012927819043397903,-0.09054778516292572,0.0,0.0,0.015500450506806374,0.9998798966407776,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,1.0,-0.8802886605262756,0.7885643243789673
10,-0.0013902398059144616,-0.0016768991481512785,-0.09824879467487335,0.0,0.0,0.01804373785853386,0.9998372197151184,0.14666667580604553,0.0,0.0,0.0,0.0,0.0,1.0,-0.8747922778129578,0.8022525906562805
11,-0.0014801828656345606,-0.0021045187022536993,-0.10566539317369461,0.0,0.0,0.020708847790956497,0.9997855424880981,0.1599999964237213,0.0,0.0,0.0,0.0,0.0,1.0,-0.8692525029182434,0.8155893087387085
12,-0.001559973694384098,-0.0025732333306223154,-0.1128428652882576,0.0,0.0,0.023480188101530075,0.9997243285179138,0.1733333319425583,0.0,0.0,0.0,0.0,0.0,1.0,-0.8632693290710449,0.8276613354682922
13,-0.0016414783895015717,-0.003073274390771985,-0.11983568966388702,0.0,0.0,0.02633219212293625,0.9996532797813416,0.18666666746139526,0.0,0.0,0.0,0.0,0.0,1.0,-0.8572936654090881,0.8382686376571655
14,-0.0017345438245683908,-0.0035992267075926065,-0.1266992837190628,0.0,0.0,0.029274635016918182,0.9995714426040649,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,1.0,-0.8523573875427246,0.8469745516777039
