step,pred_pos_x,pred_pos_y,pred_pos_z,pred_rot_0,pred_rot_1,pred_rot_2,pred_rot_3,ref_pos_x,ref_pos_y,ref_pos_z,ref_rot_0,ref_rot_1,ref_rot_2,ref_rot_3,action_throttle,action_steering
0,4.999963283538818,0.00011377075861673802,-0.010657645761966705,0.00037867113132961094,0.7072675824165344,0.0003784988075494766,0.7069457173347473,4.999998092651367,0.004188789986073971,0.0,0.0,0.7074085474014282,0.0,0.7068048715591431,0.01689162850379944,-0.16574648022651672
1,4.999946117401123,0.00026048882864415646,-0.021716829389333725,0.000639010570012033,0.7072675228118896,0.0006387197063304484,0.7069454193115234,4.999992847442627,0.008377577178180218,0.0,0.0,0.7076900601387024,0.0,0.7065230011940002,0.014291107654571533,-0.3509741723537445
2,4.999960899353027,0.00044345896458253264,-0.0332273431122303,0.0006066667847335339,0.7072675228118896,0.0006063907057978213,0.7069454789161682,4.999984264373779,0.012566358782351017,0.0,0.0,0.7079916596412659,0.0,0.706220805644989,0.015317410230636597,-0.36483246088027954
3,4.999972820281982,0.0006406068569049239,-0.04488625377416611,0.00026824057567864656,0.7072678208351135,0.0002681185433175415,0.7069456577301025,4.999971866607666,0.016755130141973495,0.0,0.0,0.708293080329895,0.0,0.7059184908866882,0.015433937311172485,-0.37590357661247253
4,4.999978065490723,0.0008518837275914848,-0.056615009903907776,-0.00025077135069295764,0.7072679996490479,-0.00025065691443160176,0.706945538520813,4.999956130981445,0.020943891257047653,0.0,0.0,0.7085742354393005,0.0,0.7056362628936768,0.015535235404968262,-0.3866061568260193
5,4.999991416931152,0.0010758949210867286,-0.06843369454145432,-0.0008645113557577133,0.7072677612304688,-0.0008641168824397027,0.7069448232650757,4.999937057495117,0.025132637470960617,0.0,0.0,0.7088754177093506,0.0,0.7053337097167969,0.015649408102035522,-0.39733007550239563
6,5.0000224113464355,0.0013086277758702636,-0.0803423747420311,-0.0015431513311341405,0.7072668671607971,-0.001542446669191122,0.7069433927536011,4.999914169311523,0.029321366921067238,0.0,0.0,0.7091965675354004,0.0,0.7050108909606934,0.01578947901725769,-0.40746769309043884
7,5.000075817108154,0.00154784950427711,-0.09233464300632477,-0.0022784722968935966,0.7072649598121643,-0.00227743131108582,0.7069412469863892,4.999887466430664,0.03351007401943207,0.0,0.0,0.709477424621582,0.0,0.7047282457351685,0.015907883644104004,-0.4165732264518738
8,5.000154972076416,0.0017923887353390455,-0.10440483689308167,-0.0030681167263537645,0.7072620391845703,-0.0030667141545563936,0.7069382071495056,4.9998579025268555,0.037698760628700256,0.0,0.0,0.7097581028938293,0.0,0.704445481300354,0.016006767749786377,-0.4256513714790344
9,5.000262260437012,0.0020414756145328283,-0.11654873192310333,-0.003910141531378031,0.707257866859436,-0.003908353392034769,0.7069340348243713,4.999824523925781,0.04188741743564606,0.0,0.0,0.7100587487220764,0.0,0.7041424512863159,0.01613253355026245,-0.43442413210868835
10,5.000399112701416,0.0022962242364883423,-0.1287396401166916,-0.004793488886207342,0.7072524428367615,-0.004791296552866697,0.7069286108016968,4.9997878074646,0.04607604444026947,0.0,0.0,0.7103592753410339,0.0,0.7038392424583435,0.01628735661506653,-0.44336003065109253
11,5.00056791305542,0.0025552790611982346,-0.14097192883491516,-0.0057153888046741486,0.7072456479072571,-0.005712773650884628,0.7069217562675476,4.999747276306152,0.0502646379172802,0.0,0.0,0.7106596827507019,0.0,0.7035359144210815,0.016563892364501953,-0.44872209429740906
12,5.000768661499023,0.002817737404257059,-0.1532358080148697,-0.006673073396086693,0.7072373032569885,-0.006670020520687103,0.7069132924079895,4.999703407287598,0.054453201591968536,0.0,0.0,0.7109399437904358,0.0,0.7032527327537537,0.01686033606529236,-0.45262348651885986
13,5.001002788543701,0.003083223709836602,-0.16552823781967163,-0.007661506067961454,0.7072272896766663,-0.007658001035451889,0.7069032788276672,4.9996562004089355,0.05864172428846359,0.0,0.0,0.7112401723861694,0.0,0.7029491066932678,0.017176151275634766,-0.45697128772735596
14,5.001271724700928,0.0033514813985675573,-0.17785179615020752,-0.008677567355334759,0.7072155475616455,-0.008673596195876598,0.7068915367126465,4.999605178833008,0.06283020973205566,0.0,0.0,0.711540162563324,0.0,0.7026454210281372,0.017541736364364624,-0.4609712064266205
15,5.001576900482178,0.0036223093047738075,-0.19020742177963257,-0.009721568785607815,0.707202136516571,-0.009717118926346302,0.7068778872489929,4.999550819396973,0.06701864302158356,0.0,0.0,0.711820125579834,0.0,0.7023618221282959,0.017929762601852417,-0.46568211913108826
16,5.001920223236084,0.0038957870565354824,-0.202598437666893,-0.010796116665005684,0.7071866989135742,-0.0107911741361022,0.7068620920181274,4.99949312210083,0.07120703160762787,0.0,0.0,0.7121198773384094,0.0,0.7020578980445862,0.0183524489402771,-0.47089436650276184
17,5.002303600311279,0.004172026179730892,-0.2150295227766037,-0.01190696656703949,0.7071688771247864,-0.011901513673365116,0.7068442702293396,4.999431610107422,0.0753953754901886,0.0,0.0,0.7124195694923401,0.0,0.7017537355422974,0.018835723400115967,-0.47557592391967773
18,5.002728462219238,0.00445095170289278,-0.22750107944011688,-0.013056646101176739,0.7071486711502075,-0.013050665147602558,0.7068238854408264,4.999366760253906,0.07958365976810455,0.0,0.0,0.7127191424369812,0.0,0.7014495134353638,0.01933470368385315,-0.48027002811431885
19,5.0031962394714355,0.004732473287731409,-0.2400134652853012,-0.014246529899537563,0.7071256637573242,-0.014240003190934658,0.7068009376525879,4.999298095703125,0.08377188444137573,0.0,0.0,0.7129985690116882,0.0,0.701165497303009,0.019870996475219727,-0.4839048385620117
20,5.0037078857421875,0.0050161913968622684,-0.25256454944610596,-0.015476911328732967,0.7070997953414917,-0.01546981930732727,0.7067750692367554,4.9992265701293945,0.08796006441116333,0.0,0.0,0.7132978439331055,0.0,0.7008610367774963,0.020503073930740356,-0.48550882935523987
21,5.0042643547058105,0.005301496013998985,-0.2651488184928894,-0.01674557290971279,0.7070710062980652,-0.01673790067434311,0.7067461013793945,4.99915075302124,0.09214817732572556,0.0,0.0,0.7135970592498779,0.0,0.7005563974380493,0.021201282739639282,-0.48511871695518494
22,5.004866600036621,0.005587924271821976,-0.27776095271110535,-0.018047749996185303,0.707038938999176,-0.018039477989077568,0.7067140936851501,4.999072074890137,0.09633622318506241,0.0,0.0,0.7138761878013611,0.0,0.7002720236778259,0.02189093828201294,-0.4843684732913971
23,5.005516052246094,0.0058751641772687435,-0.29039937257766724,-0.01937933638691902,0.7070037126541138,-0.01937044970691204,0.7066788673400879,4.998989582061768,0.10052420198917389,0.0,0.0,0.7141950130462646,0.0,0.6999467611312866,0.022605180740356445,-0.4830322265625
24,5.006214141845703,0.0061628324910998344,-0.30306336283683777,-0.020738624036312103,0.7069652080535889,-0.02072911523282528,0.7066402435302734,4.998903274536133,0.1047121062874794,0.0,0.0,0.7144937515258789,0.0,0.6996418237686157,0.0233934223651886,-0.4810774028301239
25,5.006961822509766,0.006450694520026445,-0.315751314163208,-0.0221245139837265,0.706923246383667,-0.022114364430308342,0.706598162651062,4.998813629150391,0.10889993607997894,0.0,0.0,0.7147526741027832,0.0,0.6993772983551025,0.02413734793663025,-0.4796577990055084
26,5.007760524749756,0.006738782394677401,-0.32846343517303467,-0.023533973842859268,0.7068777084350586,-0.023523172363638878,0.7065527439117432,4.998721122741699,0.11308769881725311,0.0,0.0,0.7150512337684631,0.0,0.6990720629692078,0.024574846029281616,-0.48040077090263367
27,5.008612632751465,0.007027061656117439,-0.3412077724933624,-0.024966929107904434,0.7068285942077637,-0.024955470114946365,0.7065035104751587,4.998624324798584,0.11727537959814072,0.0,0.0,0.7153496146202087,0.0,0.6987667083740234,0.0251217782497406,-0.4798930585384369
28,5.009519100189209,0.007315253838896751,-0.3539809584617615,-0.026424845680594444,0.7067756056785583,-0.026412716135382652,0.7064505219459534,4.9985246658325195,0.12146297842264175,0.0,0.0,0.7156280875205994,0.0,0.6984815001487732,0.02565893530845642,-0.479489266872406
29,5.0104804039001465,0.0076034837402403355,-0.3667820394039154,-0.02790738455951214,0.7067186236381531,-0.027894573286175728,0.7063935995101929,4.9984211921691895,0.12565049529075623,0.0,0.0,0.7159461379051208,0.0,0.6981555223464966,0.026219427585601807,-0.4791126251220703
30,5.011497974395752,0.007891719229519367,-0.37961286306381226,-0.029415292665362358,0.7066575288772583,-0.029401786625385284,0.7063323855400085,4.998313903808594,0.12983791530132294,0.0,0.0,0.7162442207336426,0.0,0.697849690914154,0.026941269636154175,-0.4777403771877289
31,5.012572765350342,0.008179955184459686,-0.3924720585346222,-0.030948137864470482,0.7065920233726501,-0.030933929607272148,0.7062669396400452,4.998203277587891,0.13402524590492249,0.0,0.0,0.7165222764015198,0.0,0.6975641846656799,0.027524083852767944,-0.47829270362854004
32,5.013707637786865,0.00846860371530056,-0.405365914106369,-0.032507698982954025,0.7065219879150391,-0.03249277547001839,0.7061969637870789,4.99808931350708,0.13821247220039368,0.0,0.0,0.716800332069397,0.0,0.6972784996032715,0.028176486492156982,-0.4788622558116913
33,5.014904022216797,0.008757490664720535,-0.4182967245578766,-0.03409869596362114,0.7064470052719116,-0.034083042293787,0.7061219811439514,4.997972011566162,0.1423996239900589,0.0,0.0,0.7171178460121155,0.0,0.6969519853591919,0.028977900743484497,-0.4775083661079407
34,5.016161918640137,0.009045812301337719,-0.43125906586647034,-0.03572326898574829,0.706366777420044,-0.03570686653256416,0.7060417532920837,4.99785041809082,0.14658665657043457,0.0,0.0,0.7174153923988342,0.0,0.6966456770896912,0.03000316023826599,-0.4721943736076355
35,5.01747989654541,0.009332571178674698,-0.44424182176589966,-0.03737575188279152,0.706281304359436,-0.03735858574509621,0.7059561610221863,4.997725963592529,0.15077361464500427,0.0,0.0,0.7176732420921326,0.0,0.696380078792572,0.031067073345184326,-0.46527501940727234
36,5.018857002258301,0.00961657427251339,-0.4572327733039856,-0.03904382884502411,0.7061910629272461,-0.03902589902281761,0.7058659791946411,4.997598171234131,0.15496042370796204,0.0,0.0,0.717970609664917,0.0,0.6960734128952026,0.031964898109436035,-0.45528918504714966
37,5.020292282104492,0.00989651307463646,-0.4702199101448059,-0.04071369767189026,0.7060967683792114,-0.04069500043988228,0.7057716846466064,4.997466564178467,0.15914715826511383,0.0,0.0,0.7182677388191223,0.0,0.695766806602478,0.032917559146881104,-0.4430673122406006
38,5.021783351898193,0.010170823894441128,-0.48318785429000854,-0.04236966744065285,0.705999493598938,-0.04235020652413368,0.7056742310523987,4.997331619262695,0.16333377361297607,0.0,0.0,0.7185648679733276,0.0,0.6954599618911743,0.03375151753425598,-0.4281425178050995
39,5.023327827453613,0.010438019409775734,-0.4961228370666504,-0.04399566352367401,0.7059001326560974,-0.043975457549095154,0.705574631690979,4.997192859649658,0.16752026975154877,0.0,0.0,0.7188618779182434,0.0,0.6951529383659363,0.03463459014892578,-0.41074928641319275
40,5.024923324584961,0.010697084479033947,-0.5090120434761047,-0.04557856172323227,0.7057996988296509,-0.04555762931704521,0.7054742574691772,4.997050762176514,0.1717066466808319,0.0,0.0,0.7191389799118042,0.0,0.6948662996292114,0.03564378619194031,-0.3909297585487366
41,5.0265679359436035,0.01094755344092846,-0.5218509435653687,-0.04710822552442551,0.7056992650032043,-0.04708659276366234,0.7053738236427307,4.996905326843262,0.1758928894996643,0.0,0.0,0.7194356918334961,0.0,0.6945590972900391,0.03681725263595581,-0.3711487352848053
42,5.028261184692383,0.011188854463398457,-0.5346431732177734,-0.048578716814517975,0.7055996656417847,-0.04855641350150108,0.7052741050720215,4.996756076812744,0.18007904291152954,0.0,0.0,0.7197322845458984,0.0,0.6942517161369324,0.0381433367729187,-0.3512330651283264
43,5.030001640319824,0.011420441791415215,-0.5473915934562683,-0.04998808726668358,0.7055012583732605,-0.04996512830257416,0.7051756381988525,4.996603488922119,0.18426504731178284,0.0,0.0,0.720028817653656,0.0,0.6939441561698914,0.039399296045303345,-0.3314277231693268
44,5.031787872314453,0.011642014607787132,-0.560100257396698,-0.0513361357152462,0.7054044604301453,-0.05131255462765694,0.7050788402557373,4.9964470863342285,0.18845093250274658,0.0,0.0,0.7203053832054138,0.0,0.6936571002006531,0.040712594985961914,-0.3115870952606201
45,5.033617973327637,0.01185334101319313,-0.5727737545967102,-0.0526229552924633,0.7053096294403076,-0.05259878560900688,0.7049840688705444,4.996287822723389,0.19263668358325958,0.0,0.0,0.7206016778945923,0.0,0.6933492422103882,0.04206496477127075,-0.2922035753726959
