iteration,dataset_size,train_loss,rollout_mean_pos_error,rollout_final_pos_error,termination_rate
1.0,1026.0,0.0001569026752137385,1.1154273364636684,2.0121527016162872,1.0
2.0,2118.0,7.493161398694307e-05,1.0489939587175152,1.937549650669098,1.0
3.0,3283.0,7.202803912756887e-05,1.1490001532455483,2.008111536502838,1.0
4.0,4222.0,7.013371478630385e-05,1.094722463132089,1.8528421521186829,1.0
5.0,5324.0,6.699958369911958e-05,1.2139720267842877,2.00767320394516,1.0
6.0,6425.0,7.306841288179082e-05,1.1755635945948089,1.8972961902618408,1.0
7.0,7491.0,6.940750378513864e-05,1.2139998766985878,2.008300095796585,1.0
8.0,8381.0,7.193478519184283e-05,1.1394250513719597,1.8210336491465569,1.0
9.0,9379.0,6.898666730800565e-05,1.1975689073928655,1.9690948575735092,1.0
10.0,10374.0,6.631052493806541e-05,1.1461075608852545,2.011440008878708,1.0
