step,time,reference_dx,reference_dy,policy_throttle,policy_steer,action_throttle,action_steer,control_throttle,control_steer,control_brake,control_reverse,control_hand_brake,predicted_delta_x,predicted_delta_y,predicted_delta_z,predicted_delta_yaw,target_yaw_step_deg,ref_x,ref_y,ref_z,ref_yaw_deg,pred_x,pred_y,pred_z,pred_yaw_deg,speed_mps,error_x,error_y,error_z,error_pos_l2,error_yaw_deg,current_loss,cumulative_mean_loss,total_loss
0,0.0,0.04188741743564606,0.041885945945978165,0.03480623662471771,-0.1418447047472,0.12033143639564514,-0.11999999731779099,0.12033143639564514,-0.11999999731779099,0.0,0,0,0.011436572298407555,-4.956142947776243e-05,0.00015017834084574133,0.031240560114383698,-0.0030064715408002485,-60.18306350708008,23.629823684692383,0.0018781661055982113,-10.352173341657988,-60.241268157958984,23.640348434448242,0.001877479488030076,-10.332320213317871,0.002495476924869453,-0.05820465087890625,0.010524749755859375,-6.866175681352615e-07,0.05914855748414993,0.019853128340116655,0.0004997881478630006,0.0004997881478630006,0.0013266760389574516
1,0.03732845642556994,0.037696242332458496,0.03768763318657875,0.10124941170215607,0.317155659198761,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.012010617181658745,-4.0050435927696526e-05,0.00014749806723557413,-0.06092941015958786,-0.007891685816900917,-60.1306266784668,23.620241165161133,0.0018781661055982113,-10.360065027474889,-60.24104309082031,23.640411376953125,0.0018767928704619408,-10.346693992614746,0.005216292593880191,-0.11041641235351562,0.020170211791992188,-1.373235136270523e-06,0.11224358528852463,0.013371034860142572,0.0017997630639001727,0.0011497755767777562,0.009501573335813689
2,0.07465691285113989,0.03769171983003616,0.037669532001018524,0.09675981104373932,0.2973470091819763,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.012856293469667435,0.00015807202726136893,0.00017025202396325767,0.014711711555719376,-0.01275275176692503,-60.078208923339844,23.610652923583984,0.0018781661055982113,-10.372817779241814,-60.24073028564453,23.640287399291992,0.0018763351254165173,-10.330581665039062,0.007441867280008547,-0.1625213623046875,0.029634475708007812,-1.8309801816940308e-06,0.1652010679244995,0.042236114202751196,0.003898774739354849,0.0020661083981394768,0.00380986991531197
3,0.11198536927670982,0.041871778666973114,0.04182340204715729,0.09902510792016983,0.3167630434036255,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.016781356185674667,0.0005462053813971579,0.0003012938832398504,0.4193008840084076,-0.0199489679478404,-60.019996643066406,23.59998893737793,0.0018781661055982113,-10.392766747189626,-60.24024200439453,23.640321731567383,0.001875648507848382,-10.344436645507812,0.010953404228875521,-0.220245361328125,0.040332794189453125,-2.5175977498292923e-06,0.22390790283679962,0.048330101681813176,0.007162140216678381,0.0033401164691895247,0.006078771320926503
4,0.14931382570227977,0.037675127387046814,0.037603214383125305,0.1002998948097229,0.3360489308834076,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.02446294017136097,0.0004896657774224877,0.0004644743457902223,0.9095365405082703,-0.02311723999781634,-59.96764373779297,23.590375900268555,0.0018781661055982113,-10.415883987187442,-60.2396125793457,23.640153884887695,0.0018749999580904841,-10.327499389648438,0.014599294544764899,-0.2719688415527344,0.049777984619140625,-3.166147507727146e-06,0.27648672461509705,0.08838459753900452,0.010920926928520203,0.00485627818852663,0.008718375106986795
5,0.18664228212784972,0.03766395151615143,0.03755851089954376,0.1012977585196495,0.35089826583862305,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.029696691781282425,1.260227963939542e-05,0.000521701411344111,0.7495530247688293,-0.028053185915666745,-59.91532897949219,23.580747604370117,0.0018781661055982113,-10.443937173103109,-60.23872756958008,23.640140533447266,0.001874046283774078,-10.340316772460938,0.019676285242907,-0.3233985900878906,0.05939292907714844,-4.119821824133396e-06,0.32880717515945435,0.10362040064217126,0.015444883145391941,0.006621045526117086,0.011863874520463991
6,0.22397073855341965,0.04183308780193329,0.04166881740093231,0.10130075365304947,0.36272990703582764,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.033269044011831284,-0.00012279232032597065,0.0005033475463278592,0.32477065920829773,-0.036980878054151844,-59.85726547241211,23.570024490356445,0.0018781661055982113,-10.480918051157289,-60.23763656616211,23.63991928100586,0.0018733214819803834,-10.322127342224121,0.02421959454104116,-0.38037109375,0.06989479064941406,-4.844623617827892e-06,0.3867395222187042,0.15879070893316793,0.021366864442825317,0.008727590553462505,0.015883767744670044
7,0.2612991949789896,0.037633270025253296,0.03743603825569153,0.10064646601676941,0.3741510510444641,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.036039724946022034,9.744248382048681e-05,0.0004458230687305331,0.263561487197876,-0.038451583363894315,-59.80507278442383,23.560352325439453,0.0018781661055982113,-10.519369634521155,-60.23626708984375,23.639848709106445,0.0018728637369349599,-10.333540916442871,0.029550058595632922,-0.4311943054199219,0.07949638366699219,-5.3023686632514e-06,0.43846115469932556,0.18582871807828383,0.02746429853141308,0.011069678701460361,0.0201071524608814
8,0.29862765140455955,0.037615448236465454,0.03736478090286255,0.09911718219518661,0.3823339641094208,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.0375489667057991,0.0002342629450140521,0.00037847805651836097,0.4265460968017578,-0.043486619800660264,-59.75294876098633,23.5506534576416,0.0018781661055982113,-10.562856254321815,-60.23468017578125,23.639572143554688,0.0018722915556281805,-10.314041137695312,0.03420743207866544,-0.4817314147949219,0.08891868591308594,-5.874549970030785e-06,0.48986905813217163,0.24881511662650269,0.03428230807185173,0.013648860156536102,0.024816394433560523
9,0.33595610783012947,0.04177141189575195,0.04142257571220398,0.0957963764667511,0.3883305788040161,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.038407519459724426,0.0002050343027804047,0.0003619546187110245,0.5075961351394653,-0.05415560254647289,-59.69512176513672,23.53984260559082,0.0018781661055982113,-10.617011856868288,-60.23279571533203,23.63944435119629,0.001871833810582757,-10.324019432067871,0.03990684110708985,-0.5376739501953125,0.09960174560546875,-6.332295015454292e-06,0.5468215346336365,0.292992424800417,0.04271695017814636,0.0165556687861681,0.03049642808991828
