step,time,reference_throttle,reference_steer,policy_throttle,policy_steer,action_throttle,action_steer,predicted_delta_x,predicted_delta_y,predicted_delta_z,predicted_delta_yaw,target_yaw_step_deg,ref_x,ref_y,ref_z,ref_yaw_deg,pred_x,pred_y,pred_z,pred_yaw_deg,error_x,error_y,error_z,error_pos_l2,error_yaw_deg
0,0.0,0.0,0.0,0.49338430166244507,0.04027106985449791,0.12033143639564514,0.010067767463624477,0.011154506355524063,-2.7086296540801413e-05,0.000123233359772712,0.047654807567596436,-0.004602110791637415,-64.6039047241211,24.47112274169922,0.00151256553363055,0.15459584553198624,-64.64484405517578,24.471010208129883,0.00151256553363055,0.15919795632362366,-0.0409393310546875,-0.0001125335693359375,0.0,0.040939487516880035,0.004602110791637415
1,0.05,0.1574546992778778,-0.00026321408222429454,0.5049951672554016,0.03695111721754074,0.12033143639564514,0.0068688527680933475,0.011877523735165596,-2.3711514586466365e-05,0.000129976513562724,-0.004356756806373596,-0.012355787744184,-64.56611633300781,24.471221923828125,0.00151256553363055,0.14224005778780224,-64.6336898803711,24.471012115478516,0.001522712642326951,0.20685279369354248,-0.06757354736328125,-0.000209808349609375,1.014710869640112e-05,0.06757387518882751,0.06461273590574024
2,0.1,0.15743380784988403,-0.00048065182636491954,0.5051881074905396,0.03562406823039055,0.12033143639564514,0.0045801508240401745,0.013562753796577454,6.468687206506729e-05,0.00020645280892495066,0.0194709450006485,-0.022251046602093538,-64.52519226074219,24.471315383911133,0.00151256553363055,0.1199890111857087,-64.62181091308594,24.47102928161621,0.0016021728515625,0.2024959921836853,-0.09661865234375,-0.000286102294921875,8.960731793195009e-05,0.0966191217303276,0.0825069809979766
3,0.15000000000000002,0.157396599650383,-0.0007667540921829641,0.5029173493385315,0.037701014429330826,0.12033143639564514,0.002524467185139656,0.017496410757303238,0.00010509153071325272,0.0003648792626336217,0.10782133787870407,-0.028612094980644542,-64.48741912841797,24.471385955810547,0.00151256553363055,0.09137691620506416,-64.60824584960938,24.471141815185547,0.001696853549219668,0.221966952085495,-0.12082672119140625,-0.000244140625,0.000184288015589118,0.12082710862159729,0.13059003588043083
4,0.2,0.15734721720218658,-0.0009956358699128032,0.5034133195877075,0.03466777130961418,0.12033143639564514,-0.0002937791869044304,0.023905694484710693,-0.00011165113392053172,0.00047912055742926896,0.060677435249090195,-0.039851790586908464,-64.44651794433594,24.471437454223633,0.00151256553363055,0.05152512561812728,-64.59075164794922,24.471315383911133,0.0018368529854342341,0.32978832721710205,-0.14423370361328125,-0.0001220703125,0.00032428745180368423,0.14423412084579468,0.2782632015989748
5,0.25,0.1572795957326889,-0.0012702940730378032,0.5021284818649292,0.03469741716980934,0.12033143639564514,-0.0027582915499806404,0.029998725280165672,-0.00025112798903137445,0.0005329118575900793,-0.2650446891784668,-0.04478945103593901,-64.40878295898438,24.47145652770996,0.00151256553363055,0.006735674582216689,-64.56684875488281,24.471342086791992,0.0020044706761837006,0.39046579599380493,-0.1580657958984375,-0.00011444091796875,0.0004919051425531507,0.15806660056114197,0.38373012141158824
6,0.30000000000000004,0.15720419585704803,-0.0014934538630768657,0.5025922656059265,0.03175938129425049,0.12033143639564514,-0.005501238629221916,0.03510119020938873,-9.504167246632278e-05,0.0004053213051520288,-0.3880102336406708,-0.057304875431839264,-64.367919921875,24.4714412689209,0.00151256553363055,-0.050569200849651,-64.53684997558594,24.471296310424805,0.0021765518467873335,0.12542112171649933,-0.1689300537109375,-0.00014495849609375,0.0006639863131567836,0.16893142461776733,0.17599032256615033
7,0.35000000000000003,0.15710556507110596,-0.0017623899038881063,0.5007185935974121,0.03295145556330681,0.0753314346075058,-0.007623643614351749,0.037829745560884476,0.00025420106248930097,0.00012351282930467278,-0.11550099402666092,-0.06064512434465996,-64.33023071289062,24.471389770507812,0.00151256553363055,-0.11121432519431096,-64.50174713134766,24.471277236938477,0.0022916793823242188,-0.2626037001609802,-0.17151641845703125,-0.0001125335693359375,0.0007791138486936688,0.1715182214975357,-0.15138937496666927
8,0.4,0.1570017784833908,-0.0019054410513490438,0.5016457438468933,0.03214224427938461,0.0753314346075058,-0.009113406762480736,0.03915399685502052,0.00028061936609447,-0.00015499524306505919,0.1702844798564911,-0.07463990159956779,-64.2894287109375,24.471282958984375,0.00151256553363055,-0.18585422679387875,-64.46391296386719,24.471357345581055,0.0023012543097138405,-0.37811279296875,-0.1744842529296875,7.43865966796875e-05,0.0007886887760832906,0.17448605597019196,-0.19225856617487125
9,0.45,0.15687690675258636,-0.0022087094839662313,0.5000537037849426,0.033096179366111755,0.12033143639564514,-0.011604338884353638,0.03938305750489235,0.00010615153587423265,-0.0001745164190651849,0.21938738226890564,-0.07651399997445196,-64.25179290771484,24.47113609313965,0.00151256553363055,-0.26236822676835914,-64.42475891113281,24.471378326416016,0.0022138594649732113,-0.2078246772289276,-0.17296600341796875,0.0002422332763671875,0.0007012939313426614,0.1729675978422165,0.054543549539431524
