time,throttle,steering,linear_speed,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,rot_0,rot_1,rot_2,rot_3,voltage
3.432788,0.0,-0.0,0.0,0.068177,-0.0,-0.068177,-0.02873,0.095768,9.864111,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.69826
3.471595,0.0,-0.0,0.0,-0.034088,-0.136354,-0.085221,0.009577,0.067038,9.80665,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.69826
3.525343,0.0,-0.0,0.0,-0.034088,-0.017044,0.068177,-0.009577,0.095768,9.911995,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.70708
3.566703,0.0,-0.0,0.0,0.187487,-0.017044,0.034088,0.057461,-0.02873,9.883264,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.69826
3.606967,0.0,-0.0,0.0,-0.102265,-0.034088,-0.034088,0.009577,0.067038,9.864111,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.70708
3.645835,0.0,-0.0,0.0,-0.017044,0.017044,-0.085221,0.057461,0.038307,9.83538,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.67159
3.680718,0.0,-0.0,0.0,0.017044,-0.017044,0.017044,0.019154,0.076614,9.883264,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.68944
3.723314,0.0,-0.0,0.0,-0.102265,-0.0,0.034088,0.038307,-0.009577,9.758766,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.7159
3.765579,0.0,-0.0,0.0,-0.068177,0.034088,-0.017044,0.067038,-0.02873,9.77792,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.68944
3.809096,0.0,-0.0,0.0,-0.017044,-0.017044,-0.085221,0.02873,0.009577,9.864111,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.70708
3.848149,0.0,-0.0,0.0,0.068177,-0.051133,0.017044,-0.019154,0.047884,9.83538,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.7159
3.887846,0.0,-0.0,0.0,-0.051133,0.017044,-0.068177,0.047884,-0.02873,9.797073,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.68944
3.949689,-0.0,-0.0,0.0,0.0,-0.017044,-0.017044,0.0,0.047884,9.911995,1.71,0.18,0.97,0.01,0.51,-0.01,-0.86,11.69826
