time,throttle,steering,linear_speed,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,rot_0,rot_1,rot_2,rot_3,voltage
311.243821,0.07,-0.0,0.61,-0.102265,-0.085221,-0.204531,0.181959,-0.21069,10.352528,1.71,0.17,-0.14,0.01,0.87,-0.0,0.5,11.63631
311.284743,0.07,-0.0,0.62,-0.068177,0.017044,-0.255663,-0.469264,-0.134075,10.457873,1.71,0.17,-0.12,0.01,0.86,-0.0,0.5,11.627279999999999
311.331274,0.07,-0.0,0.61,0.034088,0.085221,0.102265,0.201113,0.593762,12.248736,1.71,0.17,-0.09,0.01,0.86,-0.0,0.51,11.63631
311.368726,0.07,-0.0,0.63,-0.017044,-0.034088,-0.017044,0.440533,-0.603339,10.7356,1.71,0.17,-0.07,0.01,0.86,-0.0,0.5,11.66277
311.41072,0.07,-0.0,0.62,-0.017044,-0.017044,0.255663,0.335188,-0.172383,7.546524,1.71,0.17,-0.04,0.01,0.87,-0.0,0.5,11.64513
311.451505,0.07,-0.0,0.61,-0.068177,0.136354,0.11931,0.622492,0.612916,7.546524,1.71,0.17,-0.01,0.01,0.87,-0.0,0.5,11.64513
311.539284,0.07,-0.0,0.62,-0.051133,-0.0,0.102265,-0.019154,-0.517148,11.568782,1.71,0.17,0.04,0.01,0.87,-0.0,0.5,11.600819999999999
311.615395,0.07,-0.0,0.62,-0.068177,-0.0,0.102265,0.21069,-0.162806,9.35654,1.72,0.18,0.08,0.01,0.87,-0.0,0.5,11.66277
311.682771,0.07,-0.0,0.62,-0.068177,0.017044,0.034088,-1.398214,-0.105345,12.018892,1.72,0.18,0.12,0.01,0.87,-0.0,0.49,11.64513
311.732005,0.07,-0.0,0.62,-0.153398,-0.017044,0.085221,-0.335188,0.794875,10.764331,1.72,0.18,0.14,0.01,0.87,-0.0,0.49,11.627279999999999
311.768508,0.07,-0.0,0.63,0.136354,0.034088,0.017044,0.632069,-1.101333,10.438719,1.72,0.18,0.17,0.01,0.87,-0.0,0.49,11.67159
311.811527,0.07,-0.0,0.62,0.0,0.068177,0.085221,0.067038,0.114922,8.580819,1.72,0.18,0.19,0.01,0.87,-0.0,0.49,11.64513
311.853234,0.07,-0.0,0.64,-0.102265,0.136354,0.187487,0.440533,-0.162806,7.546524,1.72,0.18,0.24,0.01,0.87,-0.0,0.49,11.66277
311.936764,0.07,-0.0,0.63,0.085221,0.034088,-0.068177,0.057461,-0.086191,9.011775,1.73,0.18,0.27,0.01,0.87,-0.0,0.49,11.65395
311.987927,0.07,-0.0,0.63,-0.034088,-0.085221,-0.017044,-0.009577,-0.105345,11.137826,1.73,0.18,0.3,0.01,0.87,-0.0,0.49,11.64513
312.026764,0.07,-0.0,0.63,0.11931,0.051133,0.153398,0.248997,-0.191536,11.128249,1.73,0.18,0.33,0.01,0.87,0.0,0.49,11.64513
312.069895,0.07,-0.0,0.64,-0.170442,-0.017044,-0.034088,-0.258574,0.21069,9.11712,1.73,0.18,0.35,0.01,0.87,0.0,0.49,11.65395
312.110228,0.07,-0.0,0.65,0.136354,0.085221,0.034088,0.938527,-0.306458,8.552088,1.73,0.18,0.38,0.01,0.87,0.0,0.49,11.64513
312.155326,0.07,-0.0,0.65,-0.034088,0.034088,0.0,0.344765,0.976834,10.208876,1.74,0.18,0.4,0.01,0.87,0.0,0.49,11.627279999999999
312.1947,0.07,-0.0,0.66,-0.017044,0.034088,0.102265,-0.248997,-0.316035,8.092402,1.74,0.18,0.43,0.01,0.87,0.0,0.48,11.63631
312.24502,0.07,-0.0,0.66,0.068177,-0.051133,0.034088,0.622492,0.526724,10.084377,1.74,0.18,0.46,0.01,0.88,0.0,0.48,11.68062
312.285204,0.07,-0.0,0.65,-0.051133,0.034088,0.102265,0.344765,0.344765,11.051635,1.74,0.18,0.49,0.01,0.88,0.0,0.48,11.627279999999999
312.341127,0.07,-0.0,0.66,0.0,0.068177,0.102265,0.737414,0.009577,8.63828,1.75,0.18,0.52,0.01,0.88,0.0,0.48,11.627279999999999
312.385586,0.07,-0.0,0.66,-0.068177,0.102265,-0.085221,-0.21069,0.076614,10.658986,1.75,0.18,0.55,0.01,0.88,0.0,0.48,11.618459999999999
312.428999,0.07,-0.0,0.67,0.102265,0.017044,0.051133,-0.047884,-0.430956,10.275914,1.75,0.18,0.58,0.01,0.88,0.0,0.48,11.66277
312.470324,0.07,-0.0,0.68,-0.034088,0.136354,0.017044,0.373495,1.187524,8.8777,1.75,0.18,0.6,0.01,0.88,0.0,0.48,11.65395
312.511649,0.07,-0.0,0.66,-0.017044,0.017044,0.051133,-1.072602,-0.076614,9.538499,1.76,0.18,0.63,0.01,0.88,0.0,0.48,11.627279999999999
