time,throttle,steering,linear_speed,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,rot_0,rot_1,rot_2,rot_3,voltage
1.461131,0.0,-0.0,0.0,0.017044,0.085221,0.102265,0.076614,-0.076614,9.80665,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
1.49814,0.0,-0.0,0.0,0.017044,0.051133,0.017044,0.019154,0.076614,9.950302,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29947
1.532726,0.0,-0.0,0.0,-0.034088,0.085221,-0.085221,0.067038,-0.095768,9.768343,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29065
1.576116,0.0,-0.0,0.0,0.0,-0.017044,-0.085221,0.095768,-0.0,9.739612,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
1.615694,0.0,-0.0,0.0,0.051133,-0.017044,-0.034088,0.019154,-0.076614,9.83538,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29947
1.659912,0.0,-0.0,0.0,0.034088,0.051133,-0.11931,0.019154,0.02873,9.844957,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
1.702966,0.0,-0.0,0.0,-0.034088,-0.102265,-0.034088,-0.02873,0.067038,9.797073,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
1.73975,0.0,-0.0,0.0,-0.11931,-0.085221,-0.102265,0.047884,-0.086191,9.720459,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
1.771906,0.0,-0.0,0.0,-0.170442,0.017044,0.085221,0.019154,-0.076614,9.921572,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29065
1.805994,0.0,-0.0,0.0,0.085221,0.017044,0.102265,0.009577,-0.105345,9.768343,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.24634
1.867701,0.0,-0.0,0.0,-0.102265,-0.0,0.068177,0.047884,-0.047884,9.83538,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
1.908558,-0.0,-0.0,0.0,0.0,-0.017044,-0.017044,0.047884,0.009577,9.844957,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
1.949318,-0.0,-0.0,0.0,-0.034088,0.051133,-0.085221,-0.02873,-0.019154,9.854534,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
1.993144,-0.0,-0.0,0.0,0.017044,-0.085221,0.0,0.02873,-0.076614,9.83538,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
2.033563,-0.0,-0.0,0.0,0.0,-0.085221,-0.085221,-0.019154,-0.038307,9.816227,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.075928,-0.0,-0.0,0.0,-0.034088,-0.0,0.034088,0.019154,-0.172383,9.83538,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.117726,-0.0,-0.0,0.0,0.102265,0.034088,-0.051133,-0.009577,-0.076614,9.816227,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.157311,-0.0,-0.0,0.0,0.085221,-0.068177,-0.034088,0.038307,0.009577,9.931148,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.200214,-0.0,-0.0,0.0,-0.068177,0.034088,0.085221,0.038307,-0.067038,9.797073,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
2.264484,-0.0,-0.0,0.0,0.0,-0.017044,-0.034088,0.0,-0.067038,9.787496,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29947
2.298155,-0.0,-0.0,0.0,-0.11931,0.068177,0.068177,0.067038,-0.067038,9.825804,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29947
2.334234,-0.0,-0.0,0.0,-0.017044,-0.051133,0.051133,-0.038307,0.009577,9.864111,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
2.379225,-0.0,-0.0,0.0,0.11931,-0.034088,0.017044,-0.047884,-0.019154,9.864111,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.416579,-0.0,-0.0,0.0,-0.034088,0.068177,0.068177,-0.009577,0.067038,9.902418,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
2.46133,-0.0,-0.0,0.0,0.170442,-0.085221,0.102265,-0.009577,0.02873,9.816227,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
2.512277,-0.0,-0.0,0.0,0.051133,-0.068177,0.034088,-0.02873,-0.076614,9.710882,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
2.554446,-0.0,-0.0,0.0,-0.085221,-0.034088,-0.017044,-0.019154,-0.047884,9.816227,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
2.596098,-0.0,-0.0,0.0,0.051133,-0.034088,-0.034088,0.038307,0.009577,9.883264,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
2.6346,-0.0,-0.0,0.0,0.051133,0.068177,0.017044,0.0,-0.047884,9.643844,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
2.682686,-0.0,-0.0,0.0,-0.11931,-0.034088,0.017044,-0.057461,-0.0,9.864111,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29947
2.729299,-0.0,-0.0,0.0,0.034088,0.068177,-0.085221,0.057461,-0.047884,9.864111,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
2.768991,-0.0,-0.0,0.0,0.102265,0.017044,0.051133,0.019154,-0.0,9.864111,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29947
2.807402,-0.01,-0.0,0.0,0.017044,-0.0,0.0,-0.009577,-0.047884,9.83538,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
2.843576,-0.01,-0.0,0.0,0.051133,-0.0,-0.017044,0.067038,-0.076614,9.816227,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.884489,-0.01,-0.0,0.0,-0.11931,-0.034088,-0.017044,0.009577,-0.02873,9.931148,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.926782,-0.02,-0.0,0.0,0.068177,0.085221,0.051133,0.009577,-0.009577,9.787496,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
2.968722,-0.03,-0.0,0.0,0.017044,0.034088,-0.085221,-0.009577,0.019154,9.739612,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29065
3.013701,-0.03,-0.0,-0.01,-0.034088,0.068177,0.0,-0.047884,0.057461,9.902418,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
3.050168,-0.03,-0.0,-0.0,0.017044,-0.034088,-0.051133,0.067038,-0.019154,9.825804,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.237309999999999
3.100057,-0.03,-0.0,0.0,0.051133,-0.034088,-0.068177,0.02873,-0.009577,9.873688,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
3.143779,-0.03,-0.0,0.0,0.0,0.085221,-0.034088,0.105345,-0.047884,9.892841,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.28162
3.183938,-0.03,-0.0,0.0,-0.017044,-0.034088,-0.034088,0.02873,-0.0,9.662998,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29065
3.228751,-0.03,-0.0,0.0,0.0,-0.034088,0.017044,-0.076614,-0.067038,9.940725,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
3.267671,-0.04,-0.0,0.0,-0.034088,-0.017044,0.034088,0.038307,-0.009577,9.902418,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29947
3.311082,-0.04,-0.0,-0.01,-0.051133,0.034088,0.017044,0.076614,-0.067038,9.797073,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.26398
3.352618,-0.05,-0.0,-0.12,0.068177,0.017044,0.085221,-0.603339,-0.172383,9.844957,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.2728
3.392753,-0.05,-0.0,-0.04,-0.153398,-0.034088,0.051133,0.593762,0.047884,9.337386,1.71,0.18,0.95,0.01,0.86,0.0,0.5,11.29065
3.433581,-0.06,-0.0,-0.06,-0.017044,-0.017044,0.017044,-0.392649,-0.095768,10.342951,1.71,0.18,0.94,0.01,0.86,0.0,0.5,11.28162
3.513235,-0.06,-0.0,-0.1,-0.136354,0.034088,-0.017044,0.220267,-0.162806,10.342951,1.71,0.18,0.94,0.01,0.86,0.0,0.5,11.26398
3.548903,-0.06,-0.0,-0.13,-0.051133,-0.068177,0.0,0.038307,-0.363919,9.969456,1.71,0.18,0.93,0.01,0.86,0.0,0.5,11.29065
3.59404,-0.06,-0.0,-0.16,0.034088,-0.11931,0.034088,0.71826,0.105345,11.022904,1.71,0.18,0.93,0.01,0.86,0.0,0.5,11.26398
3.638013,-0.06,-0.0,-0.19,0.017044,-0.0,-0.11931,-0.814029,-0.067038,9.404424,1.71,0.18,0.92,0.01,0.86,0.0,0.5,11.29947
3.678493,-0.06,-0.0,-0.21,-0.068177,-0.068177,-0.085221,-0.603339,0.306458,9.59596,1.71,0.18,0.91,0.01,0.86,0.0,0.5,11.2728
3.71564,-0.05,-0.0,-0.23,-0.102265,-0.034088,0.034088,0.287304,-0.153229,9.77792,1.71,0.18,0.9,0.01,0.86,0.0,0.5,11.28162
3.758472,-0.05,-0.0,-0.24,0.051133,-0.051133,-0.051133,0.124498,-0.526724,10.390835,1.71,0.18,0.89,0.01,0.86,0.0,0.5,11.29065
3.80257,-0.05,-0.0,-0.24,-0.068177,-0.102265,0.0,-0.411803,-0.124498,9.615114,1.71,0.18,0.88,0.01,0.86,0.0,0.5,11.21967
3.84284,-0.05,-0.0,-0.26,0.051133,0.051133,0.0,-0.229843,-0.076614,10.984597,1.71,0.18,0.87,0.01,0.86,0.0,0.5,11.29065
3.913882,-0.05,-0.0,-0.27,0.051133,-0.034088,-0.068177,-0.277727,0.038307,10.084377,1.7,0.18,0.85,0.01,0.86,0.0,0.5,11.24634
3.950395,-0.05,-0.0,-0.27,-0.102265,-0.0,0.068177,-0.086191,-0.354342,9.509769,1.7,0.18,0.84,0.01,0.86,0.0,0.5,11.2728
3.992937,-0.05,-0.0,-0.28,-0.017044,-0.153398,-0.051133,0.134075,-0.143652,8.686164,1.7,0.18,0.83,0.01,0.86,0.0,0.51,11.29065
4.037762,-0.05,-0.0,-0.28,0.017044,-0.0,-0.034088,-0.153229,0.756568,8.437167,1.7,0.18,0.82,0.01,0.86,0.0,0.51,11.237309999999999
4.076438,-0.05,-0.0,-0.28,0.017044,0.051133,-0.017044,-0.363919,-0.277727,10.936713,1.7,0.18,0.81,0.01,0.86,0.0,0.51,11.2728
4.11707,-0.05,-0.0,-0.29,0.034088,-0.068177,-0.136354,-0.287304,0.459687,9.279926,1.7,0.18,0.8,0.01,0.86,0.0,0.51,11.28162
4.157802,-0.05,-0.0,-0.29,0.034088,-0.0,-0.170442,-0.363919,-0.009577,10.697293,1.7,0.18,0.79,0.01,0.86,0.0,0.51,11.28162
4.199579,-0.05,-0.0,-0.3,0.068177,0.136354,0.017044,-0.162806,0.047884,7.94875,1.7,0.18,0.77,0.01,0.86,0.0,0.51,11.25516
4.24287,-0.05,-0.0,-0.3,0.068177,0.034088,0.034088,0.287304,0.172383,10.122685,1.7,0.18,0.76,0.01,0.86,0.0,0.51,11.24634
4.320742,-0.05,-0.0,-0.31,0.017044,0.051133,0.0,0.948104,0.019154,8.762778,1.7,0.18,0.74,0.01,0.86,0.0,0.51,11.28162
4.357924,-0.05,-0.0,-0.32,-0.034088,-0.0,-0.034088,0.076614,-0.086191,8.255207,1.7,0.18,0.73,0.01,0.86,0.0,0.51,11.28162
4.400908,-0.05,-0.0,-0.31,-0.017044,0.051133,-0.068177,-0.421379,0.172383,10.055647,1.7,0.18,0.71,0.01,0.86,0.0,0.51,11.26398
4.444139,-0.05,-0.0,-0.31,-0.034088,-0.085221,0.0,-0.229843,0.201113,9.021352,1.7,0.18,0.7,0.01,0.86,0.0,0.51,11.26398
4.486376,-0.05,-0.0,-0.32,-0.017044,-0.0,0.0,0.086191,-0.248997,10.275914,1.7,0.18,0.69,0.01,0.86,0.0,0.51,11.26398
4.522584,-0.05,-0.0,-0.32,-0.085221,-0.051133,-0.102265,0.306458,0.067038,9.232042,1.7,0.18,0.68,0.01,0.86,0.0,0.51,11.24634
4.557112,-0.05,-0.0,-0.33,0.017044,0.034088,-0.034088,-0.076614,-0.651223,11.530475,1.7,0.18,0.67,0.01,0.86,0.0,0.51,11.2728
