time,throttle,steering,linear_speed,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,rot_0,rot_1,rot_2,rot_3,voltage
3.074348,0.0,-0.0,0.0,0.017044,0.017044,-0.102265,0.0,0.009577,9.883264,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.96412
3.10975,0.0,-0.0,0.0,0.102265,-0.051133,-0.153398,-0.019154,0.019154,9.921572,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.9553
3.151139,0.0,-0.0,0.0,0.102265,0.034088,0.0,0.076614,-0.019154,9.768343,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.9553
3.192232,0.0,-0.0,0.0,0.034088,-0.017044,-0.051133,0.0,0.02873,9.758766,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.94648
3.234819,0.0,-0.0,0.0,-0.068177,-0.051133,-0.034088,0.057461,-0.067038,9.864111,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.93745
3.280848,0.0,-0.0,0.0,-0.017044,-0.017044,-0.034088,-0.095768,-0.009577,9.921572,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.9553
3.323006,0.0,-0.0,0.0,0.017044,-0.034088,0.085221,0.0,-0.02873,9.950302,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.96412
3.355359,0.0,-0.0,0.0,-0.017044,-0.136354,0.085221,0.019154,-0.086191,9.854534,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.96412
3.394512,0.0,-0.0,0.0,0.017044,-0.0,-0.102265,-0.067038,-0.02873,9.854534,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.96412
3.43417,0.0,-0.0,0.0,-0.068177,-0.051133,-0.017044,-0.009577,-0.0,9.950302,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.93745
3.493781,0.0,-0.0,0.0,-0.017044,0.051133,0.051133,0.038307,-0.02873,9.768343,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.9553
3.536848,0.0,-0.0,0.0,0.0,0.017044,0.051133,-0.057461,0.038307,9.854534,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.96412
3.576771,0.0,-0.0,0.0,0.051133,-0.034088,-0.034088,0.047884,-0.0,9.797073,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.96412
3.6161,0.0,-0.0,0.0,-0.017044,-0.136354,0.017044,0.0,-0.057461,9.80665,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.94648
3.660435,0.0,-0.0,0.0,-0.11931,0.068177,0.068177,0.019154,-0.057461,9.749189,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.94648
3.701865,0.0,-0.0,0.0,-0.051133,-0.017044,-0.085221,0.038307,-0.067038,9.730036,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.96412
3.745276,0.0,-0.0,0.0,-0.034088,0.051133,-0.051133,-0.038307,-0.038307,9.892841,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.9553
3.784781,0.0,-0.0,0.0,-0.11931,0.034088,0.034088,-0.02873,-0.038307,9.864111,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.94648
3.82733,0.01,-0.0,0.0,-0.085221,0.034088,0.068177,0.047884,0.019154,9.816227,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.9553
3.899981,0.02,-0.0,0.0,-0.11931,-0.051133,0.034088,0.02873,-0.047884,9.816227,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.93745
3.942963,0.02,-0.0,0.02,0.068177,-0.051133,-0.017044,0.02873,0.067038,9.940725,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.91981
3.986641,0.03,-0.0,0.02,-0.102265,0.017044,0.017044,0.076614,-0.162806,9.758766,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.9553
4.042253,0.04,-0.0,0.0,0.068177,-0.102265,-0.102265,-0.038307,-0.02873,9.883264,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.92863
4.08343,0.05,-0.0,0.06,-0.11931,-0.136354,0.085221,2.738967,-0.325611,10.007763,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.98176
4.126787,0.06,-0.0,0.04,0.017044,-0.034088,0.0,0.124498,-0.02873,10.49618,1.33,0.18,0.99,0.01,0.51,-0.01,-0.86,11.91981
4.17162,0.06,-0.0,0.09,0.085221,-0.0,0.051133,0.383072,-0.153229,10.084377,1.33,0.18,0.98,0.01,0.51,-0.01,-0.86,11.96412
4.210283,0.06,-0.0,0.13,-0.051133,-0.051133,-0.017044,0.411803,-0.153229,8.705317,1.33,0.18,0.98,0.01,0.51,-0.01,-0.86,11.98176
4.260734,0.06,-0.0,0.16,-0.051133,-0.017044,-0.068177,-0.229843,0.162806,10.314221,1.33,0.18,0.97,0.01,0.51,-0.01,-0.86,11.94648
4.296113,0.06,-0.0,0.18,-0.085221,0.102265,0.102265,0.306458,0.143652,9.902418,1.33,0.18,0.96,0.01,0.51,-0.01,-0.86,11.96412
4.332508,0.06,-0.0,0.23,-0.017044,-0.153398,0.017044,0.593762,-0.181959,9.375694,1.33,0.18,0.96,0.01,0.51,-0.01,-0.86,11.91981
4.367939,0.06,-0.0,0.27,-0.051133,-0.0,0.051133,0.727837,0.555455,9.730036,1.33,0.18,0.94,0.01,0.51,-0.01,-0.86,11.91981
4.415259,0.06,-0.0,0.28,-0.034088,-0.0,-0.034088,1.426944,-0.277727,9.615114,1.33,0.18,0.92,0.01,0.51,-0.01,-0.86,11.93745
4.501579,0.06,-0.0,0.35,-0.11931,-0.017044,0.034088,0.373495,0.277727,9.279926,1.33,0.18,0.9,0.01,0.51,-0.01,-0.86,11.92863
4.544336,0.06,-0.0,0.38,0.068177,0.187487,0.102265,-0.354342,0.402226,9.624691,1.33,0.18,0.89,0.01,0.51,-0.01,-0.86,11.94648
4.585363,0.06,-0.0,0.41,0.034088,-0.0,0.034088,1.292869,0.306458,10.639832,1.33,0.18,0.87,0.01,0.51,-0.01,-0.86,11.93745
