time_step,true_pitch_deg,pred_pitch_deg,error
0,-45.939514,-44.906525,-1.0329895
1,-45.939514,-44.372814,-1.5667
2,-44.87975,-43.923424,-0.95632553
3,-44.444492,-43.431526,-1.0129662
4,-43.38481,-42.934826,-0.4499855
5,-43.38481,-42.367516,-1.0172958
6,-43.38481,-41.86877,-1.5160408
7,-42.317272,-41.46094,-0.8563309
8,-42.29645,-40.983105,-1.3133469
9,-42.317272,-40.587082,-1.7301903
10,-40.839745,-40.447006,-0.39273834
11,-40.819775,-40.049847,-0.769928
12,-40.839745,-39.63562,-1.2041245
13,-39.76556,-39.42312,-0.34244156
14,-39.76556,-39.00499,-0.7605705
15,-39.76556,-38.584293,-1.1812668
16,-39.76556,-38.235653,-1.5299072
17,-39.76556,-37.988525,-1.7770348
18,-38.684036,-37.85037,-0.83366776
19,-38.684036,-37.593174,-1.0908623
20,-38.684036,-37.333427,-1.3506088
21,-37.22705,-37.080166,-0.14688492
22,-37.22705,-36.63167,-0.5953789
23,-37.22705,-36.18989,-1.037159
24,-36.12789,-35.81431,-0.31358337
25,-36.140453,-35.36016,-0.7802925
26,-36.140453,-34.996937,-1.1435165
27,-35.04709,-34.689888,-0.35720062
28,-33.613598,-34.258167,0.6445694
29,-33.613598,-33.630016,0.016418457
30,-32.516758,-33.039787,0.5230293
31,-32.516758,-32.404865,-0.1118927
32,-31.413757,-31.896626,0.4828682
33,-31.413757,-31.275558,-0.13819885
34,-30.30475,-30.701046,0.39629555
35,-30.00656,-30.04649,0.039930344
36,-28.901705,-29.39204,0.49033546
37,-26.675602,-28.630814,1.9552116
38,-25.554697,-27.619911,2.0652142
39,-25.287182,-26.505632,1.2184505
40,-24.171888,-25.491713,1.3198242
41,-23.051918,-24.53524,1.4833221
42,-21.927454,-23.565714,1.6382599
43,-20.79869,-22.545162,1.7464714
44,-19.453161,-21.492441,2.03928
45,-18.327639,-20.343485,2.0158463
46,-16.066011,-19.197111,3.1310997
47,-16.066011,-17.823906,1.7578945
48,-14.930318,-16.586126,1.6558084
49,-13.807756,-15.410604,1.6028471
50,-12.66595,-14.285324,1.6193743
51,-11.521606,-13.165469,1.6438627
52,-10.257282,-12.052376,1.7950935
53,-9.120208,-10.912888,1.7926798
54,-7.9813185,-9.794604,1.8132858
55,-6.8408356,-8.695647,1.8548117
56,-5.698983,-7.6080112,1.909028
57,-4.5559864,-6.5252337,1.9692473
58,-3.4120708,-5.443528,2.0314574
59,-2.2674644,-4.360933,2.0934684
60,-1.1223956,-3.2769904,2.154595
61,0.022906858,-2.1891732,2.21208
62,1.168214,-1.1008648,2.2690787
63,2.3132966,-0.01313445,2.326431
64,3.4579258,1.073931,2.3839948
65,4.6018734,2.160362,2.4415114
66,5.7449117,3.246099,2.4988127
67,6.8868146,4.3340673,2.5527472
68,8.027357,5.420072,2.607285
69,9.166316,6.5566726,2.6096435
70,10.30347,7.777406,2.5260634
71,11.553489,8.991834,2.561655
72,13.839091,10.219723,3.6193686
73,14.9778805,11.616154,3.3617268
74,14.9778805,13.126391,1.8514891
75,16.09151,14.312781,1.7787294
76,16.09151,15.334891,0.75661945
77,16.09151,16.139185,-0.04767418
78,16.09151,16.596498,-0.5049877
79,16.09151,16.759514,-0.6680031
80,16.09151,16.759207,-0.667696
81,16.09151,16.689137,-0.59762573
82,16.09151,16.618002,-0.52649117
83,16.09151,16.566612,-0.47510147
84,16.09151,16.531063,-0.4395523
85,16.09151,16.524834,-0.4333229
86,16.09151,16.53904,-0.44752884
87,16.09151,16.573637,-0.48212624
88,16.09151,16.613028,-0.5215168
89,16.09151,16.460197,-0.36868668
90,17.224209,16.334682,0.88952637
91,17.224209,16.454878,0.769331
92,18.353523,16.812675,1.5408478
93,19.67398,17.446589,2.2273922
94,20.80665,18.311626,2.4950237
95,21.935219,19.337898,2.5973206
96,23.059488,20.440573,2.6189156
97,24.17927,21.569864,2.6094055
98,25.294376,22.689262,2.605114
99,26.666916,23.791113,2.875803
100,26.666916,24.916826,1.7500896
101,27.782259,25.839449,1.94281
102,28.892252,26.705994,2.1862583
103,29.996721,27.581932,2.4147892
104,31.403206,28.456161,2.9470444
105,31.403206,29.366577,2.0366287
106,32.505806,30.143509,2.362297
107,33.60224,30.934885,2.6673565
108,35.034946,31.769762,3.2651844
109,36.12789,32.69919,3.4287033
110,36.12789,33.66379,2.4641
111,37.21406,34.462517,2.751545
112,38.670177,37.297302,1.3728752
113,40.82498,38.990013,1.8349686
114,42.301544,39.984055,2.3174896
115,43.368607,40.827248,2.541359
116,44.4278,41.684002,2.7437973
117,45.921734,42.53985,3.3818855
118,46.97273,43.554783,3.4179459
119,48.481846,44.61786,3.863987
120,49.523537,45.75508,3.7684555
121,51.046368,46.893158,4.1532097
122,52.03323,48.103043,3.9301872
123,53.56607,49.675636,3.8904343
