time_step,true_pos_x,pred_pos_x,error
0,1.65,1.6051571,0.04484284
1,1.65,1.6025481,0.047451854
2,1.64,1.5998873,0.040112734
3,1.64,1.5962524,0.043747544
4,1.63,1.5927877,0.037212253
5,1.63,1.5886099,0.04139006
6,1.63,1.584777,0.045222998
7,1.62,1.5817543,0.038245678
8,1.62,1.5784167,0.0415833
9,1.61,1.5788678,0.031132221
10,1.61,1.57272,0.037279963
11,1.6,1.5676876,0.032312393
12,1.59,1.5660398,0.023960233
13,1.59,1.5583752,0.031624794
14,1.58,1.5521153,0.027884722
15,1.58,1.5463343,0.033665776
16,1.57,1.5416312,0.02836883
17,1.57,1.536533,0.033467054
18,1.56,1.5316737,0.028326273
19,1.55,1.5261588,0.023841143
20,1.55,1.5196764,0.030323505
21,1.54,1.5138656,0.026134372
22,1.53,1.5078654,0.022134542
23,1.53,1.5013014,0.028698564
24,1.52,1.495501,0.02449894
25,1.51,1.4907545,0.019245505
26,1.51,1.4834025,0.0265975
27,1.5,1.4767628,0.023237228
28,1.48,1.4701601,0.009839892
29,1.48,1.4616308,0.018369198
30,1.47,1.4534471,0.016552925
31,1.46,1.4448173,0.015182734
32,1.45,1.4351456,0.014854431
33,1.45,1.425097,0.024903059
34,1.44,1.416169,0.02383101
35,1.43,1.4073722,0.022627711
36,1.42,1.398449,0.021551013
37,1.41,1.3894858,0.02051413
38,1.4,1.3799906,0.020009398
39,1.39,1.3699479,0.020052075
40,1.39,1.3603578,0.029642224
41,1.38,1.3502705,0.029729486
42,1.37,1.3396889,0.030311108
43,1.36,1.3290025,0.030997515
44,1.35,1.3181019,0.03189814
45,1.34,1.3075143,0.032485723
46,1.33,1.2964569,0.03354311
47,1.32,1.2854855,0.034514546
48,1.32,1.2748592,0.045140862
49,1.31,1.2659943,0.044005632
50,1.3,1.2573133,0.0426867
51,1.29,1.2486296,0.04137039
52,1.29,1.2396677,0.050332308
53,1.28,1.232085,0.04791498
54,1.27,1.2243947,0.0456053
55,1.26,1.2161775,0.043822527
56,1.25,1.2073884,0.0426116
57,1.24,1.1981055,0.041894555
58,1.23,1.1884346,0.04156542
59,1.22,1.178472,0.041527987
60,1.21,1.1682957,0.041704297
61,1.2,1.1580001,0.041999936
62,1.19,1.147633,0.0423671
63,1.18,1.137214,0.042786002
64,1.17,1.1267419,0.04325807
65,1.16,1.1162162,0.043783784
66,1.15,1.1056406,0.044359326
67,1.14,1.0950499,0.044950128
68,1.12,1.0844622,0.03553784
69,1.11,1.0727646,0.03723538
70,1.1,1.0616121,0.038387895
71,1.09,1.0511818,0.03881824
72,1.07,1.041527,0.02847302
73,1.05,1.0306422,0.0193578
74,1.04,1.018951,0.021048903
75,1.02,1.0077367,0.012263298
76,1.01,0.995867,0.0141329765
77,0.99,0.98592323,0.004076779
78,0.97,0.9752743,-0.005274296
79,0.95,0.9626936,-0.012693584
80,0.93,0.94802797,-0.018027961
81,0.92,0.93176246,-0.01176244
82,0.9,0.91603446,-0.016034484
83,0.87,0.89999723,-0.02999723
84,0.85,0.8818674,-0.031867385
85,0.83,0.8629112,-0.03291124
86,0.81,0.8438191,-0.03381908
87,0.78,0.8248076,-0.044807613
88,0.75,0.8043991,-0.054399073
89,0.72,0.780521,-0.060520947
90,0.68,0.7536433,-0.07364327
91,0.66,0.722635,-0.062634945
92,0.65,0.6924224,-0.042422414
93,0.62,0.66627896,-0.046278954
94,0.59,0.6415014,-0.051501453
95,0.57,0.61691856,-0.04691857
96,0.55,0.5936748,-0.043674767
97,0.53,0.5718187,-0.041818738
98,0.51,0.5511794,-0.04117942
99,0.49,0.5313549,-0.041354895
100,0.47,0.5119996,-0.04199961
101,0.45,0.49331534,-0.04331535
102,0.44,0.47488165,-0.03488165
103,0.42,0.45809644,-0.038096458
104,0.39,0.44147277,-0.051472783
105,0.37,0.42265213,-0.05265212
106,0.36,0.40324053,-0.043240517
107,0.34,0.3856001,-0.045600086
108,0.32,0.3686825,-0.04868251
