time_step,true_pos_y,pred_pos_y,error
0,0.17,0.17046948,-0.00046947598
1,0.17,0.1704376,-0.0004376024
2,0.17,0.17040737,-0.00040736794
3,0.17,0.17037342,-0.0003734231
4,0.17,0.17034326,-0.00034326315
5,0.17,0.17031327,-0.0003132671
6,0.17,0.17028573,-0.00028572977
7,0.17,0.17026521,-0.00026521087
8,0.17,0.17024611,-0.00024610758
9,0.17,0.17027132,-0.00027132034
10,0.17,0.17023323,-0.00023323298
11,0.17,0.17018704,-0.00018703938
12,0.17,0.17019333,-0.00019332767
13,0.17,0.17014852,-0.00014851987
14,0.17,0.17010409,-0.00010408461
15,0.17,0.17007194,-7.1942806e-05
16,0.17,0.17004831,-4.8309565e-05
17,0.17,0.17003107,-3.106892e-05
18,0.17,0.17001143,-1.1429191e-05
19,0.17,0.1699953,4.708767e-06
20,0.17,0.16998214,1.7866492e-05
21,0.17,0.1699725,2.7507544e-05
22,0.17,0.16996218,3.7819147e-05
23,0.17,0.16995087,4.912913e-05
24,0.17,0.16993766,6.234646e-05
25,0.17,0.16993432,6.568432e-05
26,0.17,0.16991378,8.621812e-05
27,0.17,0.16989115,0.00010885298
28,0.17,0.16987436,0.00012564659
29,0.17,0.16985634,0.0001436621
30,0.17,0.16983838,0.000161618
31,0.17,0.16982113,0.00017887354
32,0.17,0.1698048,0.00019520521
33,0.17,0.16980071,0.00019928813
34,0.17,0.1698003,0.00019970536
35,0.17,0.16980207,0.00019793212
36,0.17,0.16980675,0.00019325316
37,0.17,0.1698117,0.00018830597
38,0.17,0.16980875,0.0001912564
39,0.17,0.1698072,0.00019280612
40,0.17,0.16986458,0.00013542175
41,0.17,0.16992295,7.7053905e-05
42,0.17,0.16996413,3.5867095e-05
43,0.17,0.16998908,1.0922551e-05
44,0.17,0.170004,-3.993511e-06
45,0.17,0.1700219,-2.1904707e-05
46,0.17,0.1700356,-3.5598874e-05
47,0.17,0.17004944,-4.9442053e-05
48,0.17,0.17006108,-6.107986e-05
49,0.17,0.17006773,-6.772578e-05
50,0.17,0.17006877,-6.876886e-05
51,0.17,0.17007323,-7.3224306e-05
52,0.17,0.17008132,-8.131564e-05
53,0.17,0.17009139,-9.138882e-05
54,0.17,0.17009965,-9.9644065e-05
55,0.17,0.17010719,-0.00010718405
56,0.17,0.17011517,-0.000115171075
57,0.17,0.17012422,-0.00012421608
58,0.17,0.17013451,-0.00013451278
59,0.17,0.17014603,-0.00014603138
60,0.17,0.17015873,-0.00015872717
61,0.17,0.17017321,-0.0001732111
62,0.17,0.17018828,-0.00018827617
63,0.17,0.17020367,-0.00020366907
64,0.17,0.17021957,-0.00021956861
65,0.17,0.17023619,-0.0002361834
66,0.17,0.17025372,-0.00025372207
67,0.17,0.17027287,-0.00027287006
68,0.17,0.17029259,-0.0002925843
69,0.17,0.17031561,-0.0003156066
70,0.17,0.17033656,-0.00033655763
71,0.17,0.17034712,-0.00034712255
72,0.17,0.17035094,-0.00035093725
73,0.17,0.1703533,-0.00035329163
74,0.17,0.17035893,-0.00035892427
75,0.17,0.17034905,-0.0003490448
76,0.17,0.17026451,-0.0002645105
77,0.17,0.170191,-0.00019100308
78,0.17,0.17014024,-0.00014023483
79,0.17,0.17011331,-0.00011330843
80,0.17,0.1701082,-0.00010819733
81,0.17,0.17011842,-0.00011841953
82,0.17,0.17013566,-0.00013566017
83,0.17,0.17015785,-0.000157848
84,0.17,0.17018563,-0.00018562376
85,0.17,0.17021571,-0.00021570921
86,0.17,0.17024557,-0.00024557114
87,0.17,0.17027527,-0.00027526915
