time_step,true_pos_z,pred_pos_z,error
0,-0.38,-0.3737287,-0.0062713027
1,-0.4,-0.39155877,-0.00844124
2,-0.43,-0.41002995,-0.01997006
3,-0.44,-0.4306379,-0.009362102
4,-0.46,-0.45009363,-0.009906381
5,-0.48,-0.46916038,-0.010839611
6,-0.49,-0.48827237,-0.0017276406
7,-0.51,-0.505975,-0.0040249825
8,-0.53,-0.52396137,-0.006038606
9,-0.54,-0.53533494,-0.0046650767
10,-0.56,-0.553389,-0.0066109896
11,-0.59,-0.57323736,-0.016762614
12,-0.6,-0.58799165,-0.012008369
13,-0.62,-0.6087381,-0.01126188
14,-0.63,-0.63047606,0.0004760623
15,-0.65,-0.6502028,0.0002028346
16,-0.66,-0.6690901,0.009090066
17,-0.68,-0.6862045,0.006204486
18,-0.69,-0.70266634,0.012666345
19,-0.71,-0.7171983,0.0071983337
20,-0.73,-0.7317646,0.0017645955
21,-0.74,-0.747027,0.0070269704
22,-0.76,-0.7613506,0.0013505816
23,-0.78,-0.77650887,-0.0034911036
24,-0.79,-0.7927657,0.0027656555
25,-0.81,-0.80692786,-0.0030721426
26,-0.83,-0.82307845,-0.00692153
27,-0.84,-0.8402,0.00020003319
28,-0.88,-0.8561452,-0.023854792
29,-0.9,-0.8758827,-0.024117291
30,-0.91,-0.8968125,-0.013187528
31,-0.93,-0.9157663,-0.014233708
32,-0.94,-0.9334181,-0.0065819025
33,-0.96,-0.94857293,-0.011427045
34,-0.97,-0.96289784,-0.0071021914
35,-0.99,-0.9753477,-0.014652312
36,-1.01,-0.98797745,-0.022022545
37,-1.04,-1.0015574,-0.03844261
38,-1.05,-1.0175374,-0.032462597
39,-1.07,-1.0328386,-0.03716147
40,-1.08,-1.0401261,-0.039873958
41,-1.09,-1.0448337,-0.045166373
42,-1.11,-1.0498359,-0.060164094
43,-1.12,-1.0574782,-0.062521815
44,-1.14,-1.0661263,-0.07387364
45,-1.15,-1.0762591,-0.07374084
46,-1.16,-1.086297,-0.07370293
47,-1.18,-1.0959167,-0.0840832
48,-1.19,-1.1071477,-0.08285236
49,-1.2,-1.1184466,-0.08155346
50,-1.21,-1.1295443,-0.08045578
51,-1.22,-1.1404591,-0.07954097
52,-1.23,-1.1512115,-0.07878852
53,-1.24,-1.1619306,-0.07806945
54,-1.25,-1.1724267,-0.0775733
55,-1.26,-1.1827385,-0.07726145
56,-1.27,-1.1929173,-0.077082634
57,-1.28,-1.2030101,-0.07698989
58,-1.29,-1.2130406,-0.07695937
59,-1.3,-1.2230165,-0.07698345
60,-1.3,-1.2329357,-0.067064285
61,-1.31,-1.2411995,-0.06880045
62,-1.32,-1.2491312,-0.07086885
63,-1.33,-1.2572191,-0.07278097
64,-1.34,-1.2655866,-0.07441342
65,-1.35,-1.2742035,-0.075796485
66,-1.35,-1.2829881,-0.06701195
67,-1.36,-1.2902837,-0.069716334
68,-1.37,-1.2973521,-0.07264793
69,-1.37,-1.3050175,-0.06498253
70,-1.38,-1.3121984,-0.067801595
71,-1.39,-1.3204894,-0.06951058
72,-1.4,-1.330312,-0.06968796
73,-1.4,-1.3415604,-0.058439612
74,-1.41,-1.3532,-0.056800008
75,-1.41,-1.3669524,-0.043047547
76,-1.42,-1.386622,-0.033378005
77,-1.42,-1.4062209,-0.013779044
78,-1.43,-1.4229019,-0.0070980787
79,-1.43,-1.4380152,0.008015275
80,-1.44,-1.450556,0.010555983
81,-1.44,-1.4620116,0.022011518
82,-1.44,-1.4712436,0.031243563
83,-1.45,-1.4782314,0.028231382
84,-1.45,-1.4849427,0.034942627
85,-1.46,-1.4904401,0.030440092
86,-1.46,-1.4961531,0.036153078
87,-1.47,-1.5009167,0.03091669
88,-1.47,-1.506078,0.036077976
89,-1.48,-1.5111623,0.031162262
90,-1.49,-1.5163176,0.026317596
91,-1.49,-1.5209405,0.030940533
92,-1.5,-1.5231485,0.023148537
93,-1.51,-1.5240808,0.014080763
94,-1.51,-1.5244594,0.014459372
95,-1.52,-1.5232391,0.0032391548
96,-1.52,-1.5221572,0.0021572113
97,-1.53,-1.5203974,-0.009602547
98,-1.53,-1.5193925,-0.010607481
99,-1.53,-1.5180428,-0.011957169
100,-1.54,-1.5159965,-0.024003506
101,-1.54,-1.5153334,-0.024666548
102,-1.54,-1.5144973,-0.025502682
103,-1.54,-1.513078,-0.026921988
104,-1.54,-1.5110862,-0.028913736
105,-1.54,-1.5085196,-0.031480312
106,-1.55,-1.5058331,-0.044166803
107,-1.55,-1.5040526,-0.045947313
108,-1.55,-1.5018129,-0.048187017
109,-1.55,-1.4986925,-0.05130744
110,-1.55,-1.4948277,-0.055172205
111,-1.55,-1.4911053,-0.058894634
112,-1.55,-1.524818,-0.025182009
113,-1.54,-1.5315962,-0.008403778
114,-1.54,-1.5240371,-0.01596284
115,-1.54,-1.5171821,-0.02281785
116,-1.54,-1.513344,-0.026655912
117,-1.54,-1.5113513,-0.028648615
118,-1.53,-1.5084841,-0.021515846
119,-1.53,-1.5032096,-0.02679038
120,-1.52,-1.496742,-0.02325797
121,-1.52,-1.4885893,-0.031410694
122,-1.51,-1.4798596,-0.0301404
123,-1.51,-1.4778152,-0.03218484
124,-1.51,-1.4772024,-0.032797575
125,-1.5,-1.4763157,-0.023684263
126,-1.5,-1.4727325,-0.027267456
127,-1.49,-1.4676936,-0.022306442
128,-1.48,-1.4604046,-0.019595385
129,-1.47,-1.4367349,-0.033265114
130,-1.47,-1.4138639,-0.05613613
131,-1.46,-1.4055035,-0.054496527
132,-1.45,-1.401772,-0.048228025
133,-1.45,-1.3909698,-0.059030294
134,-1.44,-1.3846998,-0.055300236
135,-1.43,-1.3730903,-0.05690968
136,-1.42,-1.3500218,-0.06997812
137,-1.41,-1.3226209,-0.0873791
138,-1.4,-1.2982428,-0.10175717
139,-1.39,-1.2785363,-0.111463666
140,-1.38,-1.266916,-0.11308396
141,-1.37,-1.2551146,-0.11488545
142,-1.37,-1.2457857,-0.12421429
143,-1.36,-1.23629,-0.12371004
144,-1.34,-1.2282269,-0.11177313
145,-1.33,-1.2200358,-0.10996425
146,-1.32,-1.2155278,-0.10447228
147,-1.3,-1.2132847,-0.08671522
148,-1.29,-1.2073684,-0.08263159
149,-1.28,-1.1990294,-0.080970526
150,-1.27,-1.1832314,-0.08676863
151,-1.26,-1.1697242,-0.090275764
152,-1.25,-1.149497,-0.10050297
153,-1.24,-1.1329684,-0.107031584
154,-1.22,-1.1102092,-0.1097908
155,-1.2,-1.0906682,-0.109331846
156,-1.19,-1.0796397,-0.110360384
157,-1.18,-0.9994684,-0.18053156
158,-1.17,-0.98786277,-0.18213719
159,-1.15,-0.9135352,-0.2364648
160,-1.14,-0.8105046,-0.32949537
161,-1.13,-0.6780861,-0.4519139
162,-1.12,-0.6176042,-0.5023958
163,-1.1,-0.62400824,-0.4759918
164,-1.08,-0.6961991,-0.38380092
165,-1.07,-0.79369277,-0.27630728
166,-1.05,-0.82836455,-0.2216354
167,-1.04,-0.82572955,-0.21427041
168,-1.02,-0.8076449,-0.21235508
169,-1.0,-0.78422767,-0.21577233
170,-0.98,-0.7096253,-0.27037472
171,-0.92,-0.6354107,-0.2845893
172,-0.9,-0.6612571,-0.23874289
173,-0.88,-0.6804022,-0.19959778
174,-0.87,-0.62831205,-0.24168795
175,-0.85,-0.6660078,-0.1839922
176,-0.84,-0.68693405,-0.15306592
177,-0.82,-0.7291077,-0.090892315
178,-0.77,-0.7613086,-0.0086913705
179,-0.76,-0.7602822,0.000282228
180,-0.74,-0.74917215,0.009172142
181,-0.72,-0.7371611,0.017161071
182,-0.71,-0.7132655,0.0032655
183,-0.69,-0.6930911,0.0030910969
184,-0.67,-0.6725798,0.0025798082
185,-0.66,-0.6490647,-0.010935307
186,-0.64,-0.631638,-0.008361995
187,-0.62,-0.60565,-0.014349997
188,-0.6,-0.5776219,-0.022378147
189,-0.59,-0.55040616,-0.039593816
190,-0.57,-0.52574074,-0.04425925
191,-0.55,-0.50910074,-0.040899277
192,-0.53,-0.4904166,-0.039583385
193,-0.51,-0.47520006,-0.034799933
194,-0.49,-0.4568342,-0.033165812
195,-0.46,-0.43730676,-0.022693247
196,-0.45,-0.41525042,-0.034749568
197,-0.43,-0.39270467,-0.03729534
198,-0.42,-0.3732733,-0.046726674
199,-0.4,-0.3566261,-0.043373913
200,-0.38,-0.341457,-0.038542986
201,-0.35,-0.3270647,-0.022935301
202,-0.34,-0.3110814,-0.028918594
203,-0.31,-0.2959187,-0.014081299
204,-0.28,-0.27904212,-0.00095787644
205,-0.26,-0.25957954,-0.00042045116
206,-0.25,-0.23930037,-0.01069963
207,-0.22,-0.22067362,0.0006736219
208,-0.2,-0.2010389,0.001038894
209,-0.18,-0.18112671,0.0011267066
210,-0.16,-0.16127151,0.0012715161
211,-0.13,-0.14157963,0.011579633
212,-0.07,-0.1201812,0.050181203
213,-0.04,-0.09182298,0.051822983
214,-0.01,-0.0606094,0.050609402
215,0.01,-0.028695405,0.038695402
216,0.03,0.0010583103,0.028941689
217,0.05,0.02818948,0.02181052
218,0.09,0.052969277,0.037030727
219,0.11,0.07935208,0.030647919
220,0.13,0.10522351,0.024776489
221,0.15,0.12980491,0.020195097
222,0.17,0.15284696,0.01715304
223,0.19,0.17473924,0.015260756
224,0.21,0.19586504,0.014134958
225,0.23,0.21647497,0.013525039
226,0.25,0.23673902,0.0132609755
227,0.29,0.25660995,0.033390045
228,0.31,0.2797185,0.030281514
229,0.33,0.3035583,0.026441723
230,0.35,0.3269566,0.023043394
231,0.38,0.34952205,0.030477941
232,0.41,0.37297553,0.03702447
233,0.43,0.39785227,0.032147735
234,0.45,0.42210516,0.027894825
235,0.49,0.4453321,0.0446679
236,0.51,0.47103333,0.038966656
237,0.54,0.49669605,0.043303967
238,0.56,0.5230025,0.036997497
239,0.58,0.54839236,0.031607628
240,0.6,0.57239807,0.027601957
241,0.62,0.59508544,0.024914563
242,0.64,0.6167167,0.023283303
243,0.68,0.637581,0.042419016
244,0.7,0.66134953,0.038650453
245,0.72,0.68489045,0.03510958
246,0.74,0.7076187,0.032381296
247,0.77,0.7292931,0.040706873
248,0.79,0.75190794,0.038092077
249,0.82,0.77401,0.04598999
250,0.85,0.7964413,0.053558707
