time_step,true_roll_deg,pred_roll_deg,error
0,178.4817,174.52315,3.9585571
1,178.4817,174.52383,3.9578705
2,178.49837,174.50536,3.9930115
3,178.52101,174.49542,4.025589
4,178.53624,174.49524,4.0410004
5,178.53624,174.51784,4.018402
6,178.53624,174.51996,4.016281
7,178.55077,174.50801,4.042755
8,177.99045,174.5087,3.4817505
9,178.55077,174.59937,3.9514008
10,178.58484,174.47452,4.110321
11,178.05852,174.39218,3.666336
12,178.58484,174.43216,4.1526794
13,178.59755,174.335,4.2625427
14,178.59755,174.28314,4.3144073
15,178.59755,174.2695,4.3280487
16,178.59755,174.25433,4.343216
17,178.59755,174.24747,4.3500824
18,178.60966,174.22742,4.382248
19,178.60966,174.25911,4.3505554
20,178.60966,174.30096,4.3087006
21,178.63948,174.32642,4.3130646
22,178.63948,174.38986,4.2496185
23,178.63948,174.43565,4.203827
24,177.3007,174.44167,2.8590393
25,178.6501,174.39471,4.2553864
26,178.6501,174.38275,4.2673492
27,178.66023,174.37796,4.2822723
28,178.68654,174.41858,4.2679596
29,178.68654,174.4789,4.2076416
30,178.69542,174.50467,4.19075
31,178.69542,174.55145,4.1439667
32,178.70387,174.5987,4.105179
33,178.70387,174.69482,4.0090485
34,178.71191,174.77744,3.9344788
35,178.72726,174.88348,3.8437805
36,178.73465,174.98242,3.7522278
37,178.74832,175.08064,3.6676788
38,178.75464,175.18454,3.5700989
39,178.49257,175.29222,3.200348
40,178.51213,175.63881,2.8733215
41,178.5312,175.96324,2.5679626
42,178.54979,176.21236,2.3374329
43,178.5679,176.37836,2.1895447
44,177.41083,176.49591,0.914917
45,177.43176,176.52032,0.911438
46,177.4716,176.53127,0.94033813
47,177.4716,176.56876,0.9028473
48,177.49057,176.57973,0.9108429
49,178.68309,176.57632,2.1067657
50,178.69804,176.64987,2.048172
51,178.71268,176.73482,1.9778595
52,177.58618,176.8082,0.7779846
53,177.60182,176.7742,0.82762146
54,177.61693,176.71945,0.8974762
55,177.63152,176.67424,0.9572754
56,177.6456,176.64453,1.0010681
57,177.65918,176.62752,1.031662
58,177.67227,176.6184,1.0538788
59,177.68489,176.61308,1.0718079
60,177.69702,176.60875,1.0882721
61,177.70871,176.611,1.0977173
62,177.71992,176.61136,1.1085663
63,177.73068,176.60693,1.1237488
64,177.74101,176.59769,1.1433258
65,177.75089,176.58463,1.1662598
66,177.76033,176.56851,1.1918182
67,177.76935,176.55685,1.2124939
68,177.77794,176.54295,1.2349854
69,177.7861,176.53151,1.2545929
70,177.79385,176.50757,1.2862854
71,177.77971,176.44678,1.3329315
72,177.7933,176.34918,1.4441223
73,177.79945,176.23302,1.5664368
74,177.79945,176.0821,1.7173462
75,177.63814,175.84424,1.7938995
76,177.63814,175.58542,2.052719
77,177.63814,175.32385,2.3142853
78,177.63814,175.1087,2.5294342
79,177.63814,174.96085,2.6772919
80,177.63814,174.8891,2.7490387
81,177.63814,174.8694,2.7687378
82,177.63814,174.8792,2.7589417
83,177.63814,174.9168,2.721344
84,177.63814,174.97363,2.664505
85,177.63814,175.03714,2.600998
86,177.63814,175.09262,2.545517
87,177.63814,175.14746,2.4906769
88,177.63814,175.20451,2.4336243
89,177.63814,175.2792,2.3589325
90,177.63098,175.397,2.2339783
91,177.63098,175.5434,2.0875854
92,177.62329,175.67189,1.9514008
93,177.58923,175.74902,1.84021
94,177.58014,175.78537,1.7947693
95,177.57047,175.80287,1.7675934
96,177.56018,175.7926,1.7675781
97,177.54927,175.76852,1.7807465
98,177.53772,175.7315,1.8062134
99,177.497,175.69339,1.8036041
100,177.497,175.6565,1.8404999
101,177.48369,175.60718,1.8765106
102,177.46967,175.56528,1.9043884
103,177.45491,175.52667,1.9282379
104,177.40816,175.48569,1.9224701
105,177.40816,175.4333,1.9748535
106,177.39127,175.3671,2.02417
107,177.37354,175.29233,2.0812073
108,177.32095,175.2203,2.100647
109,177.3007,175.14859,2.1521149
110,177.3007,175.07571,2.2249908
111,177.27948,174.9997,2.2797852
112,177.2199,178.83662,-1.6167297
113,177.17027,180.97159,-3.8013153
114,177.1022,181.36896,-4.266754
115,177.07318,180.94226,-3.8690796
116,177.04276,180.26291,-3.2201538
117,176.96425,179.55322,-2.588974
118,176.92935,178.91386,-1.9845123
119,176.84134,178.3807,-1.5393677
120,176.80116,177.91849,-1.1173248
121,176.70183,177.51736,-0.8155365
122,175.84103,177.15012,-1.309082
123,175.67194,176.21051,-0.5385742
124,175.58469,175.12474,0.45994568
125,175.58469,174.16397,1.4207153
126,175.39069,173.50366,1.8870239
127,175.28957,172.9983,2.2912598
128,177.98758,172.60947,5.378113
129,175.89314,173.66066,2.232483
130,174.38736,174.1849,0.20245361
131,174.22899,173.33926,0.88972473
132,176.18593,172.01314,4.1727905
133,173.87422,171.53969,2.3345337
134,173.46931,170.61877,2.8505402
135,175.76361,169.91559,5.8480225
136,175.42607,170.66751,4.75856
137,175.23636,171.72385,3.5125122
138,175.03026,172.57213,2.45813
139,172.1564,173.08517,-0.928772
140,174.80557,172.46642,2.339157
141,171.82559,172.46938,-0.64378357
142,174.28941,171.69983,2.5895844
143,174.28941,171.64575,2.6436615
