time_step,true_yaw_cos,pred_yaw_cos,error
0,0.99993694,0.9754226,0.024514318
1,0.99993694,0.9754642,0.024472713
2,0.9999414,0.97532535,0.024616063
3,0.9999444,0.9751445,0.024799883
4,0.9999484,0.97507524,0.024873137
5,0.9999484,0.9751619,0.024786472
6,0.9999484,0.97503865,0.024909735
7,0.9999521,0.97474504,0.025207043
8,0.999385,0.9744096,0.024975419
9,0.9999521,0.9756204,0.024331689
10,0.99995774,0.9741378,0.025819957
11,0.99942595,0.97303724,0.026388705
12,0.99995774,0.973948,0.026009738
13,0.99996084,0.97269094,0.0272699
14,0.99996084,0.9717107,0.028250158
15,0.99996084,0.97124803,0.02871281
16,0.99996084,0.97078764,0.029173195
17,0.99996084,0.9703182,0.029642642
18,0.9999637,0.96974146,0.030222237
19,0.9999637,0.9695624,0.03040129
20,0.9999637,0.9693028,0.030660927
21,0.999968,0.9687536,0.031214416
22,0.999968,0.96853423,0.03143376
23,0.999968,0.9681226,0.03184539
24,0.9998819,0.9674016,0.0324803
25,0.99997044,0.9671416,0.032828808
26,0.99997044,0.96639,0.033580422
27,0.99997276,0.96556914,0.034403622
28,0.99997604,0.9652145,0.034761548
29,0.99997604,0.96481466,0.035161376
30,0.99997795,0.9641994,0.035778522
31,0.99997795,0.9639797,0.035998225
32,0.99997973,0.9638556,0.03612411
33,0.99997973,0.9640937,0.03588605
34,0.99998146,0.96415925,0.035822213
35,0.9999823,0.9644679,0.035514414
36,0.9999838,0.96460414,0.03537965
37,0.9999866,0.96465087,0.03533572
38,0.99998784,0.9648733,0.035114527
39,0.99965394,0.965412,0.034241915
40,0.9996628,0.9694562,0.03020662
41,0.99967146,0.9729948,0.026676655
42,0.9996797,0.97546077,0.024218917
43,0.9996877,0.97703946,0.022648215
44,0.9996095,0.97834384,0.021265626
45,0.9996237,0.9796089,0.020014822
46,0.9996507,0.9809537,0.018697023
47,0.9996507,0.9825288,0.017121911
48,0.99966353,0.9835911,0.016072452
49,0.9997359,0.98444366,0.015292227
50,0.99974185,0.9851872,0.014554679
51,0.9997476,0.9859127,0.013834894
52,0.99971724,0.986606,0.013111234
53,0.99972767,0.98718727,0.0125404
54,0.9997378,0.9877596,0.011978209
55,0.9997476,0.9883734,0.011374176
56,0.999757,0.98903024,0.01072675
57,0.9997662,0.9897069,0.010059297
58,0.9997751,0.9903791,0.009396017
59,0.9997837,0.99103034,0.008753359
60,0.99979204,0.99165094,0.0081411
61,0.9998002,0.992412,0.007388234
62,0.9998081,0.9931468,0.006661296
63,0.9998157,0.9938078,0.00600791
64,0.9998231,0.99440277,0.005420327
65,0.9998303,0.99494827,0.0048820376
66,0.99983734,0.99545944,0.0043779016
67,0.99984413,0.99611354,0.003730595
68,0.99985075,0.9967456,0.0031051636
69,0.9998572,0.9971572,0.0026999712
70,0.99986345,0.9973171,0.00254637
71,0.9998675,0.99707496,0.0027925372
72,0.9998795,0.99645627,0.003423214
73,0.9998852,0.99571204,0.0041731596
74,0.9998852,0.99453914,0.00534606
75,0.999983,0.9926634,0.007319629
76,0.999983,0.9881395,0.0118435025
77,0.999983,0.98444307,0.015539944
78,0.999983,0.982232,0.017751038
79,0.999983,0.98087716,0.019105852
80,0.999983,0.9800849,0.019898117
81,0.999983,0.97939444,0.020588577
82,0.999983,0.9788338,0.021149218
83,0.999983,0.9783983,0.02158469
84,0.999983,0.97784734,0.022135675
85,0.999983,0.9773164,0.022666633
86,0.999983,0.97663236,0.023350656
87,0.999983,0.9759958,0.023987234
88,0.999983,0.9752408,0.024742186
89,0.999983,0.9746952,0.025287807
90,0.9999804,0.97409415,0.025886238
91,0.9999804,0.97348595,0.026494443
92,0.9999775,0.97277546,0.02720207
93,0.99997336,0.97204053,0.027932823
94,0.9999699,0.9713054,0.02866453
95,0.9999662,0.9707506,0.029215634
96,0.9999623,0.9702095,0.02975279
97,0.99995804,0.96980536,0.030152678
98,0.9999535,0.9693655,0.03058803
99,0.99994636,0.9690119,0.030934453
100,0.99994636,0.96875167,0.031194687
101,0.999941,0.9681897,0.031751275
102,0.99993527,0.96761847,0.032316804
103,0.9999292,0.9671769,0.032752275
104,0.9999191,0.96676064,0.03315848
105,0.9999191,0.9661894,0.033729732
106,0.9999119,0.96535695,0.03455496
107,0.99990416,0.96439993,0.035504222
108,0.99989104,0.96349895,0.036392093
109,0.9998819,0.96268225,0.037199676
110,0.9998819,0.9619069,0.037975013
111,0.9998722,0.9611267,0.038745522
112,0.99985504,1.0020771,-0.0022220612
113,0.999831,1.0222064,-0.022375405
114,0.9998085,1.0271896,-0.027381122
115,0.99979365,1.0283977,-0.02860403
116,0.9997778,1.0300823,-0.030304551
117,0.999748,1.032299,-0.03255105
118,0.99972874,1.0345838,-0.034855068
119,0.9996918,1.0367068,-0.03701502
120,0.9996683,1.0380273,-0.038358986
121,0.99962217,1.0387605,-0.039138377
122,0.998338,1.0387949,-0.04045689
123,0.9981635,1.0306371,-0.032473624
124,0.99806327,1.0226285,-0.02456528
125,0.99806327,1.0169069,-0.018843591
126,0.9978469,1.0137318,-0.015884936
127,0.99772227,1.011227,-0.013504744
128,0.99979156,1.0092558,-0.009464204
129,0.9990977,1.0233873,-0.024289608
130,0.9965275,1.0280315,-0.031503975
131,0.9962844,1.0165745,-0.020290077
132,0.99778515,1.0041267,-0.006341517
133,0.99573207,1.0028409,-0.0071088076
134,0.995055,0.9949416,0.00011342764
135,0.9972678,0.9885627,0.00870508
136,0.99681526,0.9970236,-0.00020831823
137,0.99654573,1.0052344,-0.008688629
138,0.9962406,1.010059,-0.013818383
139,0.99250525,1.0116107,-0.019105494
140,0.9958932,1.0012746,-0.0053814054
141,0.99176997,1.0018198,-0.01004988
142,0.9950372,0.99252915,0.0025080442
143,0.9950372,0.99336493,0.0016722679
144,0.9950372,0.9945955,0.00044167042
145,0.987543,0.9940386,-0.006495595
146,0.9859913,0.9729526,0.013038695
147,0.9841634,0.9485463,0.035617113
148,0.99300265,0.9264029,0.06659973
149,0.9792741,0.9353031,0.043971002
150,0.9883717,0.91345537,0.0749163
151,0.9666056,0.91406345,0.05254215
152,0.9666056,0.87235713,0.09424847
153,0.9509021,0.8334844,0.11741769
154,0.9509021,0.7776748,0.17322731
155,0.96152395,0.73517203,0.22635192
156,0.86112016,0.73023796,0.1308822
157,0.9284767,0.58860314,0.33987355
158,0.8320503,0.5523763,0.27967405
159,0.71210384,0.4295657,0.28253815
160,0.3229479,0.24032678,0.08262111
161,0.3229479,-0.032771055,0.35571894
162,-0.30949172,-0.18548246,-0.12400927
163,-0.54882705,-0.34408078,-0.20474628
164,-0.70207417,-0.4838768,-0.21819738
165,-0.70207417,-0.6076318,-0.09444237
166,-0.70207417,-0.67928994,-0.022784233
167,-0.70207417,-0.7059351,0.0038609505
168,-0.70207417,-0.7053288,0.003254652
169,-0.70207417,-0.69192255,-0.010151625
170,-0.70207417,-0.6914848,-0.010589361
171,-0.8320503,-0.6912745,-0.1407758
172,-0.8320503,-0.72893405,-0.103116274
173,-0.70710677,-0.7865535,0.07944673
174,-0.8320503,-0.8118758,-0.020174503
175,-0.8320503,-0.8576591,0.025608778
176,-0.8944272,-0.8943856,-4.1604042e-05
177,-0.9284767,-0.92937136,0.0008946657
178,-0.9338333,-0.95421565,0.020382345
179,-0.94641674,-0.969262,0.022845268
180,-0.9628735,-0.97985196,0.016978443
181,-0.9628735,-0.984287,0.021413505
182,-0.972772,-0.9859785,0.013206482
183,-0.97916514,-0.98426867,0.0051035285
184,-0.9815308,-0.9806236,-0.0009071827
185,-0.9931506,-0.97749937,-0.015651226
186,-0.9938837,-0.96522593,-0.028657794
187,-0.9950372,-0.9550295,-0.04000771
188,-0.9958932,-0.9484123,-0.04748088
189,-0.9906443,-0.9450418,-0.0456025
190,-0.99654573,-0.9555596,-0.04098612
191,-0.99306357,-0.9535154,-0.03954816
192,-0.9972678,-0.9606966,-0.036571205
193,-0.9974587,-0.95753837,-0.03992033
194,-0.99778515,-0.9547695,-0.04301566
195,-0.99925953,-0.9536731,-0.045586407
196,-0.9980526,-0.94822025,-0.049832344
197,-0.9982744,-0.94850457,-0.04976982
198,-0.99837136,-0.9476799,-0.050691485
199,-0.99837136,-0.9440248,-0.05434656
200,-0.99837136,-0.9399489,-0.058422446
201,-0.99837136,-0.9372395,-0.061131835
202,-0.99837136,-0.9362838,-0.062087536
203,-0.99837136,-0.9367633,-0.061608076
204,-0.99837136,-0.9381788,-0.060192585
205,-0.99837136,-0.94030154,-0.058069825
206,-0.99837136,-0.94259036,-0.055781007
207,-0.99837136,-0.9447342,-0.053637147
208,-0.99837136,-0.94662106,-0.051750302
209,-0.99837136,-0.9482628,-0.050108552
210,-0.99837136,-0.9496864,-0.048684955
211,-0.99837136,-0.95092344,-0.04744792
212,-0.99837136,-0.951736,-0.04663539
213,-0.99837136,-0.95248234,-0.04588902
214,-0.99837136,-0.95338774,-0.044983625
215,-0.99837136,-0.9544343,-0.043937087
216,-0.99837136,-0.9558134,-0.042557955
217,-0.99837136,-0.95716333,-0.04120803
218,-0.99837136,-0.9583261,-0.04004526
219,-0.99837136,-0.9592352,-0.03913617
220,-0.99837136,-0.96001816,-0.038353205
