time_step,true_yaw_sin,pred_yaw_sin,error
0,0.01123201,0.008596517,0.002635493
1,0.01123201,0.008264763,0.0029672468
2,0.010824035,0.008066522,0.002757513
3,0.01054618,0.0077766664,0.002769514
4,0.010162914,0.0075168777,0.0026460364
5,0.010162914,0.0072031915,0.0029597227
6,0.010162914,0.007024072,0.003138842
7,0.009790121,0.006960446,0.0028296746
8,0.03506614,0.006722454,0.028343685
9,0.009790121,0.015171846,-0.0053817257
10,0.009195617,0.013123361,-0.003927744
11,0.033878844,0.009881867,0.023996977
12,0.009195617,0.016141294,-0.006945676
13,0.008852667,0.013013005,-0.004160338
14,0.008852667,0.009442298,-0.00058963057
15,0.008852667,0.0072208922,0.0016317749
16,0.008852667,0.006126998,0.0027256692
17,0.008852667,0.005751308,0.0031013591
18,0.008518018,0.0057703108,0.002747707
19,0.008518018,0.0057623647,0.002755653
20,0.008518018,0.005821489,0.002696529
21,0.007997745,0.0058958605,0.0021018842
22,0.007997745,0.00576292,0.002234825
23,0.007997745,0.0056889355,0.0023088092
24,0.015367545,0.005693095,0.00967445
25,0.0076873116,0.008329919,-0.000642607
26,0.0076873116,0.007657543,2.9768795e-05
27,0.0073835053,0.0067964643,0.000587041
28,0.00692438,0.006121829,0.00080255093
29,0.00692438,0.0055027455,0.0014216346
30,0.0066404324,0.005231362,0.0014090706
31,0.0066404324,0.005143244,0.0014971886
32,0.006361794,0.0053362176,0.0010255766
33,0.006361794,0.005433278,0.00092851603
34,0.0060881674,0.005614659,0.0004735086
35,0.0059536383,0.005769266,0.00018437253
36,0.0056914273,0.0058987737,-0.0002073464
37,0.005179527,0.005904017,-0.0007244898
38,0.00492936,0.0057540666,-0.0008247066
39,0.026306681,0.005680764,0.020625917
40,0.025965268,0.01321551,0.012749758
41,0.025632601,0.018918717,0.006713884
42,0.025308346,0.02209459,0.0032137558
43,0.02499219,0.023524871,0.0014673192
44,0.027944941,0.024079544,0.0038653966
45,0.027429977,0.025270494,0.0021594837
46,0.02642707,0.026010895,0.00041617453
47,0.02642707,0.026012788,0.00041428208
48,0.025938338,0.025959155,-2.0816922e-05
49,0.022982433,0.025795246,-0.002812812
50,0.022721406,0.024730196,-0.0020087902
51,0.022466239,0.023909574,-0.0014433358
52,0.023778802,0.023418603,0.00036019832
53,0.023336032,0.02365339,-0.00031735748
54,0.022899358,0.023807833,-0.00090847537
55,0.02246849,0.023785574,-0.0013170838
56,0.02204315,0.023635244,-0.0015920941
57,0.02162306,0.023414975,-0.0017919149
58,0.021207957,0.023163876,-0.001955919
59,0.02079758,0.022903202,-0.0021056216
60,0.02039168,0.022643363,-0.0022516828
61,0.019990006,0.022410547,-0.002420541
62,0.019592319,0.02216371,-0.002571391
63,0.01919838,0.021905517,-0.0027071368
64,0.018807959,0.021644989,-0.0028370302
65,0.018420825,0.021388913,-0.0029680878
66,0.018036753,0.021140618,-0.0031038653
