time_step,true_pitch_deg,pred_pitch_deg,error
0,-61.293026,-64.89337,3.6003456
1,-61.293026,-64.29198,2.998951
2,-60.303333,-63.704147,3.400814
3,-59.73095,-63.05535,3.3244019
4,-58.73692,-62.38132,3.6444016
5,-58.73692,-61.652744,2.915825
6,-57.18217,-61.023018,3.840847
7,-57.18217,-60.273563,3.0913925
8,-56.128254,-59.639717,3.5114632
9,-54.5851,-59.496017,4.910919
10,-54.5851,-59.199112,4.6140137
11,-54.6289,-58.857876,4.228977
12,-54.5851,-58.102978,3.5178795
13,-53.608894,-57.808323,4.1994286
14,-53.608894,-57.080555,3.4716606
15,-53.608894,-56.349827,2.7409325
16,-53.608894,-55.747948,2.1390533
17,-53.09617,-55.281128,2.1849594
18,-52.03323,-54.827667,2.7944374
19,-52.07375,-54.65488,2.581131
20,-52.099655,-54.134945,2.0352898
21,-52.03323,-52.861694,0.8284645
22,-52.03323,-52.767845,0.7346153
23,-51.002644,-52.955917,1.9532738
24,-51.002644,-52.930283,1.927639
25,-51.002644,-52.739647,1.7370033
26,-51.042294,-52.444424,1.4021301
27,-49.519333,-51.760654,2.2413216
28,-49.519333,-50.844524,1.3251915
29,-49.519333,-49.967094,0.44776154
30,-49.519333,-49.20729,-0.31204224
31,-48.477486,-48.56611,0.08862305
32,-48.477486,-47.84352,-0.63396454
33,-46.968243,-47.152805,0.18456268
34,-45.91709,-46.282516,0.3654251
35,-44.857677,-45.300945,0.44326782
36,-43.363678,-44.239212,0.87553406
37,-42.29645,-43.073227,0.77677536
38,-40.819775,-41.87696,1.0571861
39,-39.745872,-40.617073,0.87120056
40,-38.66463,-39.356174,0.6915436
41,-36.12206,-38.099316,1.9772568
42,-33.59613,-36.611767,3.0156364
43,-32.49952,-34.870003,2.3704834
44,-31.396742,-33.130474,1.7337322
45,-29.990162,-31.478558,1.4883957
46,-28.863031,-29.840012,0.9769802
47,-27.775335,-28.448517,0.67318153
48,-26.659805,-27.030737,0.37093163
49,-24.171888,-25.630693,1.4588051
50,-23.051918,-24.116074,1.0641556
51,-21.927454,-22.568523,0.6410694
52,-21.935219,-21.078836,-0.85638237
53,-19.479248,-19.525387,0.046138763
54,-18.353523,-17.851278,-0.50224495
55,-16.066011,-16.250397,0.1843853
56,-14.930318,-14.981067,0.050748825
57,-13.807756,-13.763538,-0.044218063
58,-12.6502285,-12.486978,-0.16325092
59,-10.257282,-11.216259,0.95897675
60,-9.120208,-9.692347,0.5721388
61,-6.8645115,-8.102177,1.2376652
62,-5.7225194,-6.3826337,0.6601143
63,-4.579387,-5.324824,0.74543667
