time_step,true_pos_x,pred_pos_x,error
0,-0.83,-0.8458711,0.015871108
1,-0.83,-0.8435558,0.013555825
2,-0.83,-0.8406589,0.01065892
3,-0.83,-0.83778083,0.00778085
4,-0.83,-0.8352382,0.005238235
5,-0.82,-0.8330314,0.013031423
6,-0.82,-0.82977486,0.009774864
7,-0.81,-0.8265803,0.016580284
8,-0.81,-0.82379293,0.013792932
9,-0.81,-0.8208698,0.010869801
10,-0.8,-0.8190352,0.01903516
11,-0.8,-0.81658924,0.016589224
12,-0.79,-0.8149488,0.024948776
13,-0.79,-0.8106462,0.020646155
14,-0.79,-0.80705094,0.017050922
15,-0.78,-0.80355966,0.02355969
16,-0.77,-0.79893696,0.028936982
17,-0.77,-0.79264534,0.022645354
18,-0.76,-0.7863499,0.026349902
19,-0.76,-0.7788018,0.018801808
20,-0.75,-0.7728672,0.022867203
21,-0.75,-0.7700821,0.020082116
22,-0.74,-0.76295877,0.022958755
23,-0.73,-0.7548038,0.024803758
24,-0.73,-0.74641895,0.016418934
25,-0.72,-0.7380916,0.01809156
26,-0.71,-0.7293172,0.01931721
27,-0.71,-0.7210182,0.011018217
28,-0.7,-0.7135178,0.013517797
29,-0.69,-0.7044399,0.014439881
30,-0.69,-0.69378126,0.003781259
31,-0.68,-0.68311286,0.0031128526
32,-0.67,-0.6713325,0.0013324618
33,-0.66,-0.6588417,-0.0011582971
34,-0.65,-0.645301,-0.004698992
35,-0.64,-0.63166654,-0.008333445
36,-0.63,-0.6178291,-0.012170911
37,-0.62,-0.6043738,-0.015626192
38,-0.61,-0.59114563,-0.01885438
39,-0.59,-0.5780457,-0.011954248
40,-0.57,-0.5639764,-0.006023586
41,-0.54,-0.5481553,0.008155286
42,-0.52,-0.52883744,0.0088374615
43,-0.5,-0.50749445,0.0074944496
44,-0.48,-0.48573253,0.0057325363
45,-0.46,-0.46390322,0.0039032102
46,-0.45,-0.4409463,-0.009053677
47,-0.43,-0.42025933,-0.00974068
48,-0.41,-0.40133205,-0.008667946
49,-0.39,-0.38253286,-0.007467121
50,-0.37,-0.3647447,-0.0052553117
51,-0.35,-0.34536967,-0.004630327
52,-0.33,-0.32469776,-0.0053022504
53,-0.3,-0.30690297,0.006902963
54,-0.28,-0.28668824,0.006688237
55,-0.26,-0.2651455,0.00514552
56,-0.23,-0.24005094,0.0100509375
57,-0.21,-0.21387085,0.0038708597
58,-0.19,-0.18869743,-0.0013025701
59,-0.14,-0.16456386,0.024563864
60,-0.11,-0.13621244,0.026212439
