time_step,true_pos_y,pred_pos_y,error
0,0.19,0.18949048,0.0005095154
1,0.19,0.18950512,0.00049488246
2,0.19,0.18951385,0.00048615038
3,0.19,0.18951756,0.00048244
4,0.19,0.18951838,0.00048162043
5,0.19,0.18951643,0.00048357248
6,0.19,0.1895178,0.00048220158
7,0.19,0.18951657,0.00048342347
8,0.19,0.18952309,0.00047691166
9,0.19,0.18953194,0.00046806037
10,0.19,0.18955518,0.00044481456
11,0.19,0.18958595,0.00041404366
12,0.19,0.18959764,0.00040236115
13,0.19,0.18960048,0.00039951503
14,0.19,0.18959601,0.00040398538
15,0.19,0.18957537,0.0004246235
16,0.19,0.1895529,0.00044709444
17,0.19,0.18953727,0.00046272576
18,0.19,0.18952635,0.0004736483
19,0.19,0.18953277,0.0004672259
20,0.19,0.18954684,0.0004531592
21,0.19,0.18952563,0.00047436357
22,0.19,0.18949223,0.00050777197
23,0.19,0.18950865,0.0004913509
24,0.19,0.18954615,0.00045384467
25,0.19,0.18957679,0.00042320788
26,0.19,0.18960246,0.00039753318
27,0.19,0.18960854,0.0003914535
28,0.19,0.18958186,0.00041814148
29,0.19,0.18954095,0.00045904517
30,0.19,0.18951206,0.00048793852
31,0.19,0.18948896,0.0005110353
32,0.19,0.18947,0.0005300045
33,0.19,0.18946119,0.0005388111
34,0.19,0.18944971,0.000550285
35,0.19,0.18944035,0.0005596429
36,0.19,0.18943126,0.0005687326
37,0.19,0.18942192,0.00057807565
38,0.19,0.18941316,0.00058683753
39,0.19,0.18940479,0.000595212
40,0.19,0.18940008,0.00059992075
41,0.19,0.18939772,0.00060227513
42,0.19,0.18939531,0.0006046891
43,0.19,0.1893925,0.00060749054
44,0.19,0.1893936,0.00060640275
45,0.19,0.18939608,0.00060391426
46,0.19,0.18942595,0.00057405233
47,0.19,0.18946028,0.00053972006
48,0.19,0.18949339,0.0005066097
49,0.19,0.18950965,0.0004903525
50,0.19,0.18948765,0.0005123466
51,0.19,0.18945484,0.000545159
52,0.19,0.18942598,0.00057402253
53,0.19,0.18941298,0.00058701634
54,0.19,0.18938483,0.00061516464
55,0.19,0.1893568,0.0006431937
56,0.19,0.18933511,0.0006648898
57,0.19,0.18935235,0.00064764917
58,0.19,0.18938497,0.0006150305
59,0.19,0.18940903,0.00059096515
60,0.19,0.1894313,0.0005687028
61,0.18,0.18945037,-0.009450361
62,0.18,0.18619274,-0.006192729
63,0.18,0.18317601,-0.0031760037
64,0.18,0.18137327,-0.0013732612
65,0.18,0.1805909,-0.00059089065
66,0.18,0.18040639,-0.00040638447
67,0.18,0.18051302,-0.0005130172
68,0.18,0.18070255,-0.00070254505
69,0.18,0.18087985,-0.00087983906
70,0.18,0.18101121,-0.0010112077
71,0.18,0.18109109,-0.0010910779
72,0.18,0.18113174,-0.0011317283
73,0.18,0.1811375,-0.001137495
74,0.18,0.18111631,-0.0011163056
75,0.18,0.18109581,-0.0010958016
76,0.18,0.18107848,-0.0010784715
77,0.19,0.18106355,0.00893645
78,0.19,0.1845943,0.0054056942
79,0.19,0.18753429,0.00246571
80,0.19,0.18918252,0.0008174777
81,0.19,0.1898866,0.00011339784
82,0.19,0.1900748,-7.480383e-05
83,0.19,0.19001687,-1.6868114e-05
84,0.19,0.18988574,0.000114262104
85,0.19,0.1897572,0.00024279952
86,0.19,0.18965793,0.00034207106
87,0.19,0.18958938,0.0004106164
88,0.19,0.18954729,0.00045271218
89,0.19,0.18952332,0.00047667325
90,0.19,0.1895105,0.00048950315
91,0.19,0.1895069,0.0004930943
92,0.19,0.18951437,0.00048562884
93,0.19,0.18951194,0.00048805773
94,0.19,0.18951945,0.00048054755
95,0.19,0.18952699,0.00047300756
96,0.19,0.18952242,0.00047758222
97,0.19,0.18951882,0.0004811734
98,0.19,0.1895161,0.0004839003
99,0.19,0.18951337,0.00048662722
100,0.19,0.18948157,0.0005184263
101,0.19,0.18939646,0.00060354173
102,0.19,0.1892556,0.0007444024
103,0.19,0.18910316,0.0008968413
104,0.19,0.18896116,0.0010388345
105,0.19,0.18883418,0.0011658221
106,0.19,0.1887575,0.0012425035
107,0.19,0.18866476,0.0013352334
108,0.19,0.18855423,0.0014457703
109,0.19,0.18848656,0.0015134364
110,0.19,0.18844326,0.0015567392
111,0.19,0.18833636,0.0016636401
112,0.19,0.18824531,0.0017546862
113,0.19,0.1880907,0.0019093007
114,0.19,0.18788446,0.0021155328
115,0.19,0.18769306,0.0023069382
116,0.19,0.18748386,0.0025161356
117,0.19,0.18724217,0.0027578324
118,0.19,0.18690152,0.003098473
119,0.18,0.18624662,-0.0062466115
120,0.18,0.18322027,-0.0032202601
121,0.18,0.18075687,-0.0007568598
122,0.18,0.1792181,0.00078190863
123,0.18,0.17836884,0.0016311705
124,0.18,0.17810512,0.0018948913
125,0.18,0.17820147,0.0017985404
126,0.18,0.17844673,0.0015532821
127,0.18,0.17870378,0.0012962222
128,0.18,0.17891172,0.0010882914
129,0.18,0.17905116,0.00094884634
130,0.18,0.17911735,0.0008826554
131,0.18,0.17913435,0.00086565316
132,0.18,0.17911768,0.00088232756
133,0.18,0.17908292,0.00091709197
134,0.18,0.17904319,0.00095681846
135,0.18,0.17900252,0.0009974837
