time_step,true_pos_z,pred_pos_z,error
0,0.43,0.45344245,-0.023442447
1,0.47,0.48334455,-0.013344556
2,0.51,0.5141288,-0.0041288137
3,0.54,0.5464752,-0.0064751506
4,0.57,0.57904714,-0.009047151
5,0.6,0.6111445,-0.011144459
6,0.63,0.643245,-0.0132449865
7,0.67,0.674668,-0.0046679974
8,0.7,0.70588136,-0.005881369
9,0.73,0.7385081,-0.008508086
10,0.76,0.7713994,-0.011399388
11,0.79,0.8042166,-0.014216602
12,0.84,0.83570933,0.0042906404
13,0.87,0.8701698,-0.00016981363
14,0.9,0.90417874,-0.0041787624
15,0.93,0.9369584,-0.0069583654
16,0.98,0.96927774,0.01072228
17,1.02,1.0045934,0.015406609
18,1.05,1.0414555,0.008544445
19,1.08,1.0790322,0.0009678602
20,1.11,1.1140001,-0.0040000677
21,1.14,1.1459398,-0.0059398413
22,1.17,1.1789567,-0.00895679
23,1.2,1.2122178,-0.01221776
24,1.24,1.2444061,-0.0044060946
25,1.27,1.2762637,-0.006263733
26,1.3,1.3064182,-0.006418228
27,1.32,1.3342699,-0.014269829
28,1.35,1.3593473,-0.00934732
29,1.39,1.3846431,0.005356908
30,1.41,1.4117727,-0.0017727613
31,1.44,1.4381806,0.0018194914
32,1.47,1.4643043,0.0056957006
33,1.51,1.4902097,0.019790292
34,1.53,1.5176734,0.012326598
35,1.57,1.5441761,0.02582395
36,1.59,1.5718665,0.018133521
37,1.62,1.5987052,0.021294832
38,1.65,1.6253422,0.024657726
39,1.67,1.6520371,0.017962813
40,1.71,1.6780293,0.03197074
41,1.76,1.705694,0.05430603
42,1.8,1.7374362,0.06256378
43,1.82,1.771401,0.048599005
44,1.85,1.8038332,0.046166778
45,1.88,1.8348533,0.045146704
46,1.9,1.8687842,0.031215787
47,1.92,1.899079,0.020920992
48,1.95,1.9263445,0.023655534
49,1.97,1.9537816,0.016218424
50,2.0,1.9767482,0.023251772
51,2.02,2.0011115,0.018888474
52,2.03,2.0235662,0.0064337254
53,2.06,2.0449448,0.01505518
54,2.08,2.067266,0.012733936
55,2.1,2.0889611,0.01103878
56,2.12,2.1078234,0.012176514
57,2.13,2.1237872,0.0062129498
58,2.15,2.1356564,0.014343739
59,2.18,2.1471934,0.032806635
60,2.2,2.161467,0.038532972
61,2.21,2.177092,0.032907963
62,2.23,2.247332,-0.017332077
63,2.25,2.268248,-0.018248081
64,2.26,2.2654088,-0.005408764
65,2.27,2.2630267,0.0069732666
66,2.28,2.2667003,0.013299704
67,2.29,2.2777882,0.0122118
68,2.31,2.2895558,0.020444155
69,2.32,2.3036413,0.016358614
70,2.33,2.3169684,0.013031483
71,2.34,2.32927,0.010730028
72,2.35,2.3399882,0.010011673
73,2.35,2.3473656,0.0026342869
74,2.36,2.351657,0.008342981
75,2.36,2.3534007,0.006599188
76,2.37,2.35226,0.017739773
77,2.37,2.3492475,0.02075243
78,2.37,2.351356,0.018643856
79,2.37,2.337328,0.03267193
80,2.38,2.3243394,0.055660725
81,2.37,2.3208537,0.049146175
82,2.37,2.3240194,0.045980453
83,2.37,2.3276901,0.04230976
84,2.37,2.3302922,0.03970766
85,2.37,2.3311987,0.038801193
86,2.37,2.330654,0.03934598
87,2.37,2.3286095,0.04139042
88,2.37,2.3255754,0.044424534
89,2.37,2.32227,0.04772997
90,2.37,2.319173,0.050826788
91,2.37,2.3154976,0.05450225
92,2.37,2.312799,0.05720091
93,2.37,2.3088353,0.061164618
94,2.37,2.3049052,0.06509471
95,2.37,2.3020506,0.067949295
96,2.37,2.2997394,0.070260525
97,2.37,2.298911,0.07108879
98,2.37,2.2995899,0.07041001
99,2.17,2.3011894,-0.13118935
100,2.14,2.282847,-0.14284682
101,2.12,2.2489386,-0.12893867
102,2.1,2.2049038,-0.10490394
103,2.07,2.1579058,-0.087905884
104,2.05,2.1110106,-0.0610106
105,2.02,2.0630116,-0.043011665
106,1.99,2.0214415,-0.03144145
107,1.96,1.9843658,-0.024365783
108,1.94,1.9457368,-0.0057367086
109,1.92,1.9091895,0.010810494
110,1.9,1.882034,0.017966032
111,1.87,1.853843,0.016157031
112,1.84,1.8313515,0.008648515
113,1.82,1.8100802,0.009919882
114,1.79,1.7852691,0.0047308207
115,1.76,1.7591692,0.00083076954
116,1.73,1.7327787,-0.0027786493
117,1.71,1.7059937,0.004006386
118,1.67,1.6725272,-0.002527237
119,1.64,1.6070448,0.03295517
120,1.6,1.445127,0.15487301
121,1.57,1.4125967,0.15740335
122,1.55,1.4348552,0.11514473
123,1.52,1.4597448,0.06025517
124,1.48,1.4457719,0.034228086
125,1.45,1.4059732,0.04402685
126,1.41,1.3607037,0.04929626
127,1.38,1.3179488,0.062051177
128,1.35,1.2798412,0.07015884
129,1.3,1.2453604,0.054639578
130,1.25,1.2103708,0.03962922
131,1.21,1.1742723,0.03572774
132,1.18,1.137388,0.042611957
133,1.14,1.1012414,0.038758636
134,1.11,1.0660381,0.043961883
135,1.07,1.032424,0.03757608
136,1.03,1.0008206,0.029179335
137,1.0,0.96806264,0.03193736
138,0.96,0.93457913,0.025420845
139,0.92,0.9002851,0.019714892
140,0.88,0.8652836,0.014716387
141,0.84,0.8305073,0.009492695
142,0.8,0.8043925,-0.0043925047
143,0.76,0.7778682,-0.01786822
144,0.73,0.74117076,-0.011170745
145,0.69,0.7043518,-0.014351785
146,0.66,0.66832757,-0.008327544
147,0.61,0.63414633,-0.024146318
148,0.57,0.59898394,-0.02898395
149,0.53,0.5631434,-0.0331434
150,0.5,0.5263706,-0.026370585
151,0.45,0.4907335,-0.040733516
152,0.42,0.45469326,-0.03469327
153,0.37,0.41983283,-0.04983282
154,0.33,0.38317907,-0.053179055
155,0.29,0.35322177,-0.06322178
156,0.25,0.31497487,-0.064974874
157,0.2,0.28266692,-0.08266692
158,0.16,0.2489747,-0.0889747
159,0.12,0.21413323,-0.094133236
160,0.09,0.17866656,-0.08866656
161,0.04,0.1436027,-0.1036027
162,0.01,0.03242901,-0.02242901
163,-0.03,-0.06925845,0.03925845
164,-0.06,-0.146218,0.086218
165,-0.1,-0.20395577,0.10395577
166,-0.14,-0.25037903,0.110379025
167,-0.18,-0.29021853,0.110218525
168,-0.22,-0.32611948,0.10611948
169,-0.26,-0.36045754,0.10045755
170,-0.29,-0.39432746,0.10432747
171,-0.33,-0.42765552,0.097655505
172,-0.36,-0.4648239,0.10482389
173,-0.4,-0.5020471,0.102047116
174,-0.44,-0.53897923,0.098979235
175,-0.48,-0.5737748,0.093774825
176,-0.51,-0.60867584,0.09867585
177,-0.54,-0.6391648,0.099164784
178,-0.58,-0.6687157,0.08871573
179,-0.62,-0.6952115,0.075211525
180,-0.65,-0.7218268,0.071826816
181,-0.69,-0.74803925,0.058039248
182,-0.72,-0.7740096,0.054009557
183,-0.77,-0.7996143,0.02961433
184,-0.82,-0.8275441,0.0075441003
185,-0.86,-0.86312604,0.0031260252
186,-0.89,-0.8986187,0.008618712
187,-0.92,-0.9361756,0.016175568
188,-0.95,-0.97376907,0.02376908
189,-0.98,-1.010479,0.030478954
190,-1.0,-1.0452522,0.045252204
191,-1.03,-1.0777968,0.047796845
192,-1.07,-1.1086386,0.03863859
193,-1.1,-1.1394682,0.03946817
194,-1.12,-1.1704185,0.050418496
195,-1.16,-1.1998571,0.03985715
196,-1.2,-1.2290504,0.02905035
197,-1.27,-1.2606455,-0.009354472
198,-1.31,-1.2985078,-0.011492133
199,-1.34,-1.3396432,-0.0003567934
200,-1.36,-1.3798249,0.019824862
201,-1.38,-1.415596,0.035596013
202,-1.4,-1.4462323,0.046232343
203,-1.42,-1.4724365,0.05243659
204,-1.44,-1.4950713,0.055071235
205,-1.45,-1.5147849,0.064784884
206,-1.47,-1.5312546,0.06125462
207,-1.49,-1.5459802,0.055980206
208,-1.5,-1.5597699,0.05976987
209,-1.52,-1.5712818,0.05128181
210,-1.54,-1.5819653,0.041965365
211,-1.55,-1.5921506,0.042150617
212,-1.56,-1.6012598,0.041259885
213,-1.57,-1.6076859,0.03768587
214,-1.58,-1.612698,0.032697916
215,-1.59,-1.6165015,0.026501417
216,-1.6,-1.6203357,0.020335674
217,-1.6,-1.6227819,0.022781849
218,-1.61,-1.6231729,0.013172865
219,-1.61,-1.6239766,0.013976574
220,-1.61,-1.6223654,0.012365341
221,-1.62,-1.6191231,-0.00087690353
222,-1.62,-1.6162978,-0.0037021637
223,-1.62,-1.6120304,-0.007969618
224,-1.61,-1.6061565,-0.003843546
225,-1.61,-1.6783603,0.06836033
226,-1.61,-1.7014621,0.091462135
227,-1.6,-1.6885792,0.08857918
228,-1.6,-1.667329,0.06732893
229,-1.59,-1.6491793,0.059179306
230,-1.58,-1.6342474,0.05424738
231,-1.57,-1.6217381,0.051738024
232,-1.55,-1.6092776,0.059277654
233,-1.54,-1.5949272,0.05492723
234,-1.53,-1.5788666,0.04886663
235,-1.52,-1.5621091,0.04210913
236,-1.5,-1.5446482,0.04464817
237,-1.49,-1.5258486,0.035848618
238,-1.46,-1.5063089,0.046308875
239,-1.44,-1.4846102,0.044610143
240,-1.42,-1.4605997,0.040599704
241,-1.4,-1.4314368,0.0314368
242,-1.38,-1.4031457,0.023145676
243,-1.36,-1.3726392,0.012639165
244,-1.34,-1.3406136,0.0006135702
245,-1.32,-1.3124241,-0.007575989
246,-1.29,-1.2831194,-0.006880522
247,-1.27,-1.25074,-0.01925993
248,-1.24,-1.2173276,-0.022672415
249,-1.21,-1.1886673,-0.02133274
250,-1.18,-1.1678761,-0.012123823
251,-1.15,-1.14779,-0.002210021
252,-1.12,-1.1289814,0.008981347
253,-1.09,-1.1112614,0.021261334
254,-1.07,-1.0882913,0.018291235
255,-1.03,-1.0338979,0.0038979053
256,-1.01,-0.9448899,-0.06511009
257,-0.97,-0.85072875,-0.11927128
258,-0.95,-0.7541754,-0.19582456
259,-0.91,-0.6992066,-0.21079344
260,-0.89,-0.67495704,-0.21504295
261,-0.86,-0.66334426,-0.19665575
262,-0.83,-0.65053046,-0.17946953
263,-0.79,-0.6431804,-0.14681965
264,-0.76,-0.6419431,-0.11805689
265,-0.72,-0.6383655,-0.08163452
266,-0.68,-0.6326344,-0.047365606
267,-0.65,-0.62504363,-0.024956346
