time_step,true_roll_deg,pred_roll_deg,error
0,176.7295,178.2319,-1.5023956
1,176.7295,178.5277,-1.7981873
2,176.82018,178.75583,-1.9356537
3,176.90594,178.95297,-2.0470276
4,176.98721,179.12126,-2.1340485
5,176.98721,179.27492,-2.2877045
6,177.13759,179.37814,-2.2405548
7,177.13759,179.52911,-2.3915253
8,175.39069,179.63803,-4.247345
9,175.58469,179.10129,-3.5166016
10,175.58469,178.68153,-3.0968475
11,177.337,178.40198,-1.0649719
12,175.58469,178.8134,-3.228714
13,177.39743,178.62509,-1.2276611
14,177.39743,179.00816,-1.610733
15,177.39743,179.35101,-1.9535828
16,177.39743,179.55504,-2.157608
17,177.4552,179.62961,-2.174408
18,175.84103,179.64713,-3.8060913
19,177.51045,179.09644,-1.5859833
20,178.32706,179.15152,-0.8244629
21,175.84103,180.29932,-4.4582825
22,175.84103,179.62415,-3.7831116
23,175.91699,178.77478,-2.857788
24,175.91699,178.2022,-2.285202
25,175.91699,177.8901,-1.973114
26,177.56335,177.75098,-0.18762207
27,177.66269,178.26413,-0.6014404
28,177.66269,178.78821,-1.1255188
29,177.66269,179.14342,-1.4807281
30,177.66269,179.31305,-1.6503601
31,177.7094,179.36397,-1.6545715
32,177.7094,179.40985,-1.7004547
33,177.79741,179.41449,-1.6170807
34,177.83891,179.45001,-1.6110992
35,177.8789,179.48721,-1.6083069
36,177.95459,179.49915,-1.5445557
37,177.99045,179.52625,-1.5357971
38,178.05852,179.53362,-1.4750977
39,178.09085,179.5443,-1.4534454
40,178.12212,179.55222,-1.4300995
41,178.21008,179.53668,-1.3265991
42,178.29019,179.54575,-1.2555542
43,178.31532,179.56517,-1.2498474
44,178.33972,179.55707,-1.2173462
45,178.38646,179.51901,-1.1325531
46,177.14442,179.45358,-2.3091583
47,178.43065,179.30359,-0.87294006
48,178.45184,179.49405,-1.0422058
49,178.51213,179.66252,-1.1503906
50,178.5312,179.82623,-1.2950287
51,178.54979,179.67647,-1.1266785
52,177.57047,179.4346,-1.8641357
53,177.61505,179.76883,-2.153778
54,177.62329,180.05734,-2.4340515
55,177.4716,180.20041,-2.7288055
56,177.49057,179.50055,-2.0099792
57,178.68309,178.90982,-0.22673035
58,177.52664,178.72015,-1.193512
59,177.58618,178.53694,-0.9507599
60,177.60182,178.43987,-0.8380432
61,177.7002,178.35468,-0.65448
62,177.70273,180.12204,-2.4193115
63,177.7048,180.70499,-3.000183
64,177.70757,180.63971,-2.9321442
65,177.70825,180.54974,-2.8414917
66,177.70848,180.51929,-2.8108063
67,177.70757,180.62271,-2.9151459
68,177.7064,180.88562,-3.1792145
69,178.85228,181.068,-2.2157135
70,178.84999,181.17496,-2.3249664
71,178.84674,181.20918,-2.362442
72,178.84477,181.18214,-2.3373718
73,178.82808,181.013,-2.1849213
74,178.82808,180.68573,-1.8576508
75,178.82529,180.38684,-1.561554
76,178.81894,180.20438,-1.385437
77,178.81535,180.105,-1.2896423
78,178.81151,180.36049,-1.5489807
79,178.78992,179.59943,-0.8095093
80,178.78508,178.72774,0.05734253
81,178.77994,178.14653,0.6334076
82,178.76869,177.92435,0.8443451
83,178.74832,178.0875,0.66082764
84,178.74167,178.32034,0.42132568
85,178.73465,178.49216,0.24249268
86,178.72726,178.58228,0.14498901
87,178.72726,178.59805,0.12921143
88,178.72726,178.56529,0.16197205
89,178.72726,178.5239,0.20336914
90,178.72726,178.4939,0.23336792
91,178.72726,178.48312,0.24414062
92,178.72726,178.31497,0.41229248
93,178.72726,178.33669,0.39057922
94,178.72726,178.2457,0.48156738
95,178.72726,178.17581,0.55145264
96,178.72726,178.31216,0.4151001
97,178.72726,178.46394,0.26332092
98,178.72726,178.56122,0.16604614
99,177.13759,178.59982,-1.4622345
100,175.06473,179.98732,-4.922592
101,174.94632,180.78,-5.833679
102,174.6827,180.30862,-5.625931
103,174.22899,179.12808,-4.8990936
104,176.18593,177.73355,-1.5476227
105,173.24762,176.21698,-2.9693604
106,172.74504,175.21283,-2.4677887
107,175.23636,174.07315,1.163208
108,174.80557,172.94269,1.8628845
109,171.05998,172.17708,-1.117096
110,173.6598,171.25888,2.4009247
111,169.58568,170.09647,-0.51078796
112,168.28372,168.40079,-0.11706543
113,169.69516,165.6405,4.054657
114,167.47119,162.68234,4.788849
115,165.96376,158.96527,6.9984894
116,164.05461,154.35718,9.697433
117,158.1986,148.58173,9.616867
118,146.30994,138.35963,7.950302
119,90.0,117.45607,-27.45607
120,45.0,71.15714,-26.157143
121,33.690067,42.586655,-8.896587
122,21.801409,25.619694,-3.818285
123,15.945395,14.868851,1.0765448
124,12.528808,9.207611,3.3211966
125,10.304847,6.99942,3.3054266
126,8.746162,6.587837,2.1583252
127,7.5946436,6.906761,0.6878824
128,6.709837,7.4214478,-0.7116108
129,5.710593,7.879387,-2.1687937
130,5.194429,8.144836,-2.9504075
131,4.763642,8.235817,-3.4721751
132,4.236395,8.170372,-3.9339771
133,4.0856166,7.9903564,-3.9047399
134,3.8140748,7.7556305,-3.9415557
135,3.5763345,7.495674,-3.9193397
136,3.270488,7.382881,-4.1123934
137,3.270488,7.3624268,-4.091939
138,3.270488,7.3856735,-4.1151857
139,3.270488,7.4100266,-4.139539
140,3.17983,7.4153976,-4.2355676
141,4.2172537,7.386963,-3.1697092
142,4.2172537,7.29998,-3.0827265
143,3.094058,7.1569366,-4.0628786
144,3.094058,7.0044327,-3.9103746
145,3.0127876,6.937538,-3.9247506
146,3.0127876,6.8952866,-3.882499
147,3.0127876,6.875984,-3.8631966
148,3.0127876,6.857498,-3.8447106
149,3.0127876,6.839134,-3.8263466
150,3.0127876,6.7989807,-3.7861931
151,2.8624053,6.763199,-3.9007936
152,2.8624053,6.717064,-3.8546586
153,2.8624053,6.6877594,-3.825354
154,3.8678684,6.642441,-2.7745724
155,2.8624053,6.5686035,-3.7061982
156,3.8678684,6.460968,-2.5930996
157,3.7605107,6.3779755,-2.6174648
158,3.7605107,6.2549667,-2.494456
159,3.7605107,6.138191,-2.3776805
160,3.7605107,6.0468903,-2.2863796
161,3.7605107,5.9643784,-2.2038677
162,3.5665076,6.0278854,-2.4613779
163,3.5665076,6.629753,-3.0632455
164,3.5665076,7.263092,-3.6965845
165,3.5665076,7.571678,-4.005171
166,3.5665076,7.5213776,-3.95487
167,3.5665076,7.246544,-3.6800363
168,3.4729211,6.913162,-3.440241
169,3.4729211,6.584648,-3.111727
170,3.4729211,6.3369293,-2.8640082
171,2.6025622,6.166771,-3.5642087
172,2.5448043,6.084503,-3.5396988
173,2.489553,6.080139,-3.5905862
174,3.3038244,6.131035,-2.8272104
175,3.3038244,6.1714554,-2.867631
176,3.3038244,6.206764,-2.9029398
177,2.4366481,6.0325165,-3.5958683
178,3.2214355,5.7342224,-2.5127869
179,3.0727444,5.4106216,-2.3378773
180,2.9995797,5.100067,-2.1004875
181,2.9290967,4.8491287,-1.920032
182,2.867815,4.5191956,-1.6513805
183,2.7391021,4.1969833,-1.4578812
184,2.0454085,3.905983,-1.8605745
185,3.8785245,3.7143097,0.16421485
186,3.3100195,3.5507812,-0.24076176
187,3.2666953,3.4567413,-0.19004607
188,3.1774495,3.4019852,-0.2245357
189,1.762391,3.3518295,-1.5894386
190,3.0221267,3.2701874,-0.2480607
191,1.6846843,3.2052612,-1.520577
192,1.636577,3.1133194,-1.4767424
