time_step,true_yaw_cos,pred_yaw_cos,error
0,0.99837136,1.0105819,-0.012210488
1,0.99837136,1.0138645,-0.0154931545
2,0.99846035,1.0162833,-0.017822921
3,0.99854225,1.0179858,-0.019443572
4,0.9986178,1.0190883,-0.02047044
5,0.9986178,1.0197704,-0.021152556
6,0.99875236,1.0199697,-0.021217346
7,0.99875236,1.0203242,-0.021571875
8,0.9978469,1.0198131,-0.02196616
9,0.99806327,1.0139747,-0.0159114
10,0.99806327,1.0080681,-0.010004818
11,0.9989201,1.0032445,-0.004324436
12,0.99806327,1.0035628,-0.0054995418
13,0.99896854,1.0005147,-0.0015462041
14,0.99896854,1.0013671,-0.0023985505
15,0.99896854,1.0023711,-0.0034025311
16,0.99896854,1.0026852,-0.0037166476
17,0.9990138,1.0021111,-0.0030972958
18,0.998338,1.0010215,-0.0026835203
19,0.99905616,0.9962089,0.0028472543
20,0.99989814,0.9951048,0.004793346
21,0.998338,1.0009516,-0.0026136637
22,0.998338,0.9960667,0.0022712946
23,0.9984198,0.98950016,0.008919656
24,0.9984198,0.98461175,0.013808072
25,0.9984198,0.9817313,0.016688526
26,0.99909586,0.9805768,0.018519044
27,0.99916804,0.98391956,0.015248477
28,0.99916804,0.9874697,0.011698365
29,0.99916804,0.9900702,0.009097815
30,0.99916804,0.99161315,0.0075548887
31,0.99920094,0.99248576,0.0067151785
32,0.99920094,0.993436,0.0057649612
33,0.9992612,0.99428725,0.004973948
34,0.99928874,0.995065,0.004223764
35,0.99931484,0.9957663,0.0035485625
36,0.9993628,0.99593747,0.0034253597
37,0.999385,0.9958929,0.003492117
38,0.99942595,0.99542737,0.0039985776
39,0.9994449,0.99467695,0.0047679543
40,0.99946296,0.9940034,0.005459547
41,0.9995121,0.99322903,0.006283045
42,0.99955475,0.99252474,0.00703001
43,0.99956775,0.9917203,0.007847428
44,0.9995802,0.9909431,0.00863713
45,0.9996035,0.99016786,0.009435654
46,0.9994407,0.99265885,0.006781876
47,0.9996249,0.994424,0.0052009225
48,0.999635,0.9973295,0.0023055077
49,0.9996628,0.9994923,0.00017052889
50,0.99967146,0.99761415,0.002057314
51,0.9996797,0.9939395,0.0057401657
52,0.9999662,0.9907334,0.009232819
53,0.9999745,0.9905739,0.009400606
54,0.9999775,0.9909471,0.009030402
