time_step,true_yaw_sin,pred_yaw_sin,error
0,0.057049792,0.050454125,0.0065956675
1,0.057049792,0.04855825,0.008491542
2,0.05547002,0.04693905,0.008530971
3,0.053975258,0.04528352,0.008691739
4,0.052558832,0.04361797,0.008940861
5,0.052558832,0.041979447,0.010579385
6,0.049937617,0.04089687,0.009040747
7,0.049937617,0.03942633,0.010511287
8,0.06558618,0.038888067,0.026698112
9,0.06220711,0.043662388,0.018544722
10,0.06220711,0.047334652,0.014872458
11,0.0464614,0.049850967,-0.0033895671
12,0.06220711,0.04636789,0.01583922
13,0.04540766,0.0475778,-0.002170138
14,0.04540766,0.04410793,0.0012997314
15,0.04540766,0.04056736,0.0048402995
16,0.04540766,0.038067847,0.007339813
17,0.044400614,0.036610737,0.0077898763
18,0.057630666,0.03551362,0.022117045
19,0.043437224,0.03901227,0.0044249557
20,0.014272674,0.038119167,-0.023846492
21,0.057630666,0.027333554,0.030297112
22,0.057630666,0.031016592,0.026614074
23,0.05619504,0.037109207,0.019085832
24,0.05619504,0.041569006,0.014626034
25,0.05619504,0.044120338,0.0120747015
26,0.042514715,0.045457523,-0.002942808
27,0.04078237,0.04180503,-0.0010226592
28,0.04078237,0.037385404,0.0033969656
29,0.04078237,0.033879343,0.0069030263
30,0.04078237,0.031762924,0.009019446
31,0.03996804,0.030513048,0.009454992
32,0.03996804,0.029478937,0.010489102
33,0.038433123,0.028897647,0.009535477
34,0.03770901,0.02803192,0.00967709
35,0.03701166,0.027192425,0.009819236
36,0.03569153,0.02647302,0.00921851
37,0.03506614,0.0256669,0.009399239
38,0.033878844,0.02501313,0.008865714
39,0.03331483,0.024355728,0.008959103
40,0.032769278,0.023872327,0.008896951
41,0.031234752,0.023592811,0.0076419413
42,0.029837456,0.023128618,0.006708838
43,0.029399052,0.02250648,0.006892573
44,0.02897334,0.022123668,0.006849671
45,0.028157845,0.022016238,0.0061416067
46,0.033439808,0.022680435,0.010759372
47,0.027386984,0.024709672,0.0026773121
48,0.027017161,0.02469495,0.0023222119
49,0.025965268,0.024159849,0.0018054191
50,0.025632601,0.022715911,0.00291669
51,0.025308346,0.021876395,0.0034319516
52,0.008218604,0.02171646,-0.013497856
53,0.007145677,0.01726071,-0.010115033
54,0.006702122,0.012952777,-0.006250655
55,0.02642707,0.010018438,0.016408632
56,0.025938338,0.014049454,0.011888884
57,0.022982433,0.01855738,0.0044250526
58,0.024984453,0.021113861,0.0038705915
59,0.023778802,0.023033142,0.0007456597
60,0.023336032,0.023978602,-0.00064256974
61,0.0024076977,0.02444423,-0.022036532
62,0.0020042048,0.012809234,-0.010805029
63,0.0016019202,0.004040162,-0.0024382418
64,0.00079999975,-0.000120452605,0.00092045235
65,0.00039988,-0.0016898038,0.002089684
66,0.0,-0.002104843,0.002104843
67,-0.00079999975,-0.0015413351,0.0007413354
68,-0.0012005995,-0.0015056934,0.00030509394
69,-0.00080120156,-0.0018235305,0.001022329
70,-0.0012042138,-0.0020300215,0.0008258077
71,-0.0016101418,-0.0023763618,0.0007662199
72,-0.0018145131,-0.0028446997,0.0010301865
73,-0.0022724867,-0.003786875,0.0015143882
74,-0.0022724867,-0.004475525,0.0022030384
75,-0.0024849789,-0.0046241516,0.0021391727
76,-0.0029148324,-0.0046016662,0.0016868338
77,-0.0031324895,-0.0047220215,0.001589532
78,-0.0033521706,0.00033694506,-0.0036891156
79,-0.0038788633,0.0027110819,-0.0065899454
80,-0.00411074,0.0029220944,-0.0070328345
81,-0.0043454235,0.002270962,-0.0066163857
82,-0.004823976,0.0015653707,-0.006389347
83,-0.005179527,0.0003397949,-0.005519322
84,-0.005433472,-0.001102888,-0.004330584
85,-0.0056914273,-0.002457941,-0.0032334863
86,-0.0059536383,-0.003689807,-0.0022638314
87,-0.0059536383,-0.004771464,-0.0011821743
88,-0.0059536383,-0.00547598,-0.00047765812
89,-0.0059536383,-0.005855188,-9.8450575e-05
90,-0.0059536383,-0.0060165124,6.287405e-05
91,-0.0059536383,-0.006189101,0.00023546256
92,-0.0059536383,-0.0058780448,-7.559359e-05
93,-0.0059536383,-0.005782745,-0.0001708935
94,-0.0059536383,-0.005564554,-0.00038908422
95,-0.0059536383,-0.005138148,-0.00081549026
96,-0.0059536383,-0.005029997,-0.0009236415
97,-0.0059536383,-0.00517111,-0.0007825284
98,-0.0059536383,-0.0053852815,-0.00056835683
99,-0.049937617,-0.0055689667,-0.04436865
100,-0.07137042,-0.02421629,-0.047154132
101,-0.07353851,-0.04969237,-0.023846142
102,-0.07812646,-0.071695015,-0.0064314455
103,-0.086123705,-0.08914144,0.0030177385
104,-0.06651901,-0.104136795,0.037617788
105,-0.10327861,-0.10857946,0.0053008497
106,-0.111999325,-0.121894285,0.00989496
107,-0.08304548,-0.13727492,0.05422944
108,-0.090535745,-0.13978168,0.04924594
109,-0.14127302,-0.14141221,0.00013919175
110,-0.11043153,-0.15982608,0.049394555
111,-0.16679686,-0.16734983,0.0005529672
112,-0.1891569,-0.18997318,0.0008162707
113,-0.17888544,-0.21848562,0.03960018
114,-0.21693046,-0.23761043,0.020679966
115,-0.24253562,-0.2629613,0.020425677
116,-0.27472112,-0.29183212,0.017111003
117,-0.37139067,-0.32448724,-0.04690343
118,-0.5547002,-0.37952435,-0.17517585
119,-1.0,-0.46870518,-0.5312948
120,-0.70710677,-0.5745572,-0.13254958
121,-0.5547002,-0.5411367,-0.013563514
122,-0.37139067,-0.45644084,0.085050166
123,-0.27472112,-0.3539542,0.07923308
124,-0.21693046,-0.26673228,0.04980181
125,-0.17888544,-0.20489047,0.02600503
126,-0.15205719,-0.16419956,0.012142375
127,-0.13216372,-0.13794503,0.005781308
128,-0.11684125,-0.12087293,0.0040316805
129,-0.09950372,-0.10942395,0.009920232
130,-0.090535745,-0.10027543,0.009739682
131,-0.08304548,-0.09325059,0.010205105
132,-0.07387169,-0.08766933,0.013797641
133,-0.07124705,-0.082356974,0.011109926
134,-0.06651901,-0.07828021,0.011761203
135,-0.062378287,-0.074742466,0.012364179
136,-0.057049792,-0.07136482,0.014315028
137,-0.057049792,-0.06830059,0.011250798
138,-0.057049792,-0.06639372,0.009343926
139,-0.057049792,-0.065555006,0.008505214
140,-0.05547002,-0.06542102,0.009951003
141,-0.088088915,-0.06519857,-0.022890344
142,-0.088088915,-0.072711185,-0.01537773
143,-0.053975258,-0.080031514,0.026056256
144,-0.053975258,-0.07705127,0.023076009
145,-0.052558832,-0.07258038,0.02002155
146,-0.052558832,-0.068586096,0.016027264
147,-0.052558832,-0.06588431,0.013325475
148,-0.052558832,-0.06435594,0.011797108
149,-0.052558832,-0.06362211,0.011063278
150,-0.052558832,-0.063323684,0.010764852
151,-0.049937617,-0.0632691,0.013331484
152,-0.049937617,-0.062564224,0.012626607
153,-0.049937617,-0.061903708,0.011966091
154,-0.082120076,-0.06146467,-0.020655405
155,-0.049937617,-0.069395445,0.019457828
156,-0.082120076,-0.06883633,-0.013283744
157,-0.08036109,-0.07484849,-0.0055126026
158,-0.08036109,-0.08011992,-0.00024116784
159,-0.08036109,-0.08376752,0.0034064278
160,-0.08036109,-0.08600886,0.005647771
161,-0.08036109,-0.0872585,0.0068974122
162,-0.0769856,-0.08563335,0.008647755
163,-0.0769856,-0.08198251,0.0049969107
164,-0.0769856,-0.07845098,0.0014653802
165,-0.0769856,-0.07576732,-0.0012182742
166,-0.0769856,-0.074063346,-0.0029222518
167,-0.0769856,-0.073195934,-0.0037896633
168,-0.075467184,-0.072945684,-0.0025215
169,-0.075467184,-0.0725745,-0.0028926805
170,-0.075467184,-0.07241119,-0.0030559972
171,-0.04540766,-0.07243424,0.027026579
172,-0.044400614,-0.06469219,0.020291578
173,-0.043437224,-0.05721597,0.013778746
174,-0.07252398,-0.051733743,-0.020790238
175,-0.07252398,-0.05602328,-0.0165007
176,-0.07252398,-0.061604884,-0.010919098
177,-0.042514715,-0.065677345,0.02316263
178,-0.07120167,-0.05980532,-0.0113963485
179,-0.068612866,-0.06082971,-0.007783156
180,-0.06745251,-0.062281534,-0.0051709786
181,-0.066340506,-0.06306498,-0.0032755286
182,-0.065157846,-0.062878676,-0.0022791699
183,-0.06314862,-0.06200161,-0.0011470094
184,-0.03569153,-0.060589384,0.024897855
185,-0.06764133,-0.052078057,-0.015563276
186,-0.042133577,-0.05291747,0.010783892
187,-0.04125517,-0.04880264,0.0075474717
188,-0.039698817,-0.04466228,0.0049634613
189,-0.030754676,-0.041327965,0.010573288
190,-0.03673813,-0.03677423,3.6098063e-05
191,-0.029399052,-0.034899507,0.0055004545
192,-0.028559774,-0.03230138,0.003741607
193,-0.027767068,-0.030137151,0.0023700837
194,-0.027386984,-0.02852882,0.0011418369
195,-0.02665719,-0.027504884,0.00084769353
196,-0.0043454235,-0.026797634,0.02245221
197,-0.0036496108,-0.020136349,0.016486738
198,-0.006262925,-0.013811836,0.007548911
199,-0.0058277706,-0.010084134,0.004256363
200,-0.0053963517,-0.008124797,0.002728445
201,-0.0045435303,-0.007284846,0.0027413159
202,-0.0041215518,-0.0068261847,0.002704633
203,-0.0036279112,-0.006643573,0.0030156616
204,-0.0032192993,-0.0066026193,0.00338332
205,-0.0024076977,-0.0066690384,0.004261341
206,-0.0020042048,-0.0065206387,0.004516434
207,-0.0016019202,-0.00637847,0.0047765495
208,-0.0012005995,-0.0063097393,0.0051091397
209,-0.00039988,-0.0062157447,0.0058158645
210,0.00039988,-0.005831124,0.006231004
211,0.00079999975,-0.005275925,0.0060759247
212,0.00080120156,-0.004828334,0.0056295353
213,0.0010024053,-0.0046305167,0.005632922
214,0.001406751,-0.0046039373,0.0060106884
215,0.0036279112,-0.0045712804,0.008199192
216,0.0020614262,-0.003885658,0.005947084
217,0.0024849789,-0.003951787,0.006436766
218,0.0053963517,-0.0040867873,0.009483139
219,0.0031324895,-0.003421674,0.0065541635
220,0.0033521706,-0.003599585,0.006951756
221,0.007755045,-0.003946657,0.011701701
222,0.00411074,-0.0028753448,0.006986085
223,0.004583103,-0.0031562839,0.007739387
224,0.00492936,-0.0035796324,0.008508992
225,0.005433472,0.0037190523,0.0017144196
226,0.0056914273,0.008460002,-0.0027685747
227,0.0060881674,0.009032661,-0.0029444937
228,0.0066404324,0.007484013,-0.0008435808
229,0.0073835053,0.005743183,0.0016403222
230,0.0076873116,0.004812615,0.0028746966
231,0.008518018,0.004448612,0.0040694056
232,0.009195617,0.004781788,0.004413829
233,0.010162914,0.00554459,0.0046183243
234,0.010824035,0.0065832585,0.0042407764
235,0.011652523,0.0076076854,0.0040448373
236,0.012421402,0.008610379,0.0038110232
237,0.0133673735,0.009570561,0.0037968121
238,0.014272674,0.010542337,0.0037303371
239,0.015843688,0.011587385,0.0042563025
240,1.2246469e-16,0.012993172,-0.012993172
241,0.018955773,0.007688528,0.011267245
242,1.2246469e-16,0.009901775,-0.009901775
243,1.2246469e-16,0.005447967,-0.005447967
244,0.023991281,0.00075387023,0.023237411
245,1.2246469e-16,0.006886214,-0.006886214
246,1.2246469e-16,0.0040729186,-0.0040729186
247,1.2246469e-16,0.00013311766,-0.00013311766
248,0.036248833,-0.0030910615,0.039339893
249,0.09950372,0.009282706,0.09022101
250,0.048336927,0.047429755,0.0009071715
251,0.13216372,0.061123524,0.0710402
252,0.15205719,0.10011543,0.051941752
253,0.17888544,0.14374827,0.035137177
254,0.21693046,0.21007112,0.006859347
255,0.31622776,0.2749901,0.041237652
256,0.5547002,0.35006386,0.20463634
257,0.8944272,0.46071628,0.4337109
258,1.0,0.563994,0.436006
259,0.8944272,0.59728414,0.29714304
260,0.8944272,0.5892525,0.3051747
261,1.0,0.5715281,0.42847192
262,1.0,0.5491939,0.45080608
263,0.8944272,0.52617574,0.36825144
264,0.8944272,0.49524632,0.39918086
265,0.8944272,0.4648559,0.42957127
266,0.8944272,0.44022933,0.45419785
267,0.70710677,0.42255768,0.2845491
268,0.5547002,0.39379963,0.16090056
269,0.5547002,0.34936097,0.20533922
270,0.4472136,0.3128306,0.134383
271,0.31622776,0.27736863,0.03885913
272,0.21693046,0.23673847,-0.01980801
273,0.15205719,0.19344208,-0.04138489
274,0.13216372,0.15279971,-0.020635992
275,0.12403473,0.12208703,0.001947701
276,0.11043153,0.10272424,0.0077072904
277,0.09950372,0.090568915,0.008934803
278,0.090535745,0.08361742,0.006918326
279,0.08304548,0.07871114,0.0043343455
280,0.079745226,0.072841674,0.0069035515
281,0.079745226,0.06816259,0.011582635
282,0.07124705,0.065334424,0.0059126243
283,0.086123705,0.06125113,0.024872575
284,0.057049792,0.06429896,-0.0072491653
285,0.07353851,0.059324417,0.014214095
286,0.052558832,0.05939954,-0.0068407096
287,0.052558832,0.054486673,-0.0019278415
288,0.052558832,0.050191846,0.0023669861
289,0.052558832,0.04758376,0.004975073
290,0.052558832,0.046290435,0.006268397
291,0.052558832,0.04579498,0.006763853
292,0.05121475,0.045660693,0.0055540577
293,0.049937617,0.045134332,0.004803285
294,0.049937617,0.04419433,0.0057432875
295,0.049937617,0.043389294,0.0065483227
296,0.049937617,0.04280349,0.0071341284
297,0.048722554,0.042406354,0.0063162
298,0.048722554,0.041677006,0.0070455484
299,0.048722554,0.041049886,0.0076726675
300,0.048722554,0.040593673,0.008128881
301,0.048722554,0.040278554,0.008444
302,0.0464614,0.040063635,0.006397765
303,0.0464614,0.039101847,0.007359553
304,0.0464614,0.038230605,0.008230794
305,0.04540766,0.037640568,0.0077670924
306,0.04540766,0.03686866,0.008538999
307,0.04540766,0.036285605,0.009122055
308,0.043437224,0.035939787,0.0074974373
309,0.043437224,0.035061397,0.008375827
310,0.043437224,0.034331247,0.009105977
311,0.043437224,0.033890795,0.009546429
312,0.042514715,0.033695202,0.008819513
313,0.05619504,0.032997154,0.023197886
314,0.053603802,0.03636607,0.01723773
315,0.053603802,0.03880322,0.014800582
316,0.03996804,0.040251203,-0.00028316304
317,0.03770901,0.036613137,0.0010958724
318,0.03770901,0.032134797,0.0055742115
319,0.03633962,0.028896712,0.0074429065
